,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.43,17.9,17.78,6.7,,,,,
low,9.78,9.13,5.97,3.4,,,,,
change,0.0092,0.5192,-0.5829,-0.2397,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,268217.0,78764.0,65062.0,217781.0,Balance Sheet
Short Term Investments,,,,,2411.0,181292.0,181545.0,2003.0,Balance Sheet
Cash and Short Term Invs,,,,,270628.0,260056.0,246607.0,219784.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,55905.0,48844.0,52761.0,58585.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-838.0,-805.0,-1320.0,-1808.0,Balance Sheet
"Total Receivables, Net",,,,,55067.0,48039.0,51441.0,56777.0,Balance Sheet
Prepaid Expenses,,,,,8461.0,7575.0,6248.0,9370.0,Balance Sheet
Total Current Assets,,,,,334156.0,315670.0,304296.0,285931.0,Balance Sheet
Buildings,,,,,3555.0,,,,Balance Sheet
Machinery/Equipment,,,,,6549.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,1102.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,11206.0,,,,Balance Sheet
Accumulated Depreciation,,,,,-7284.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,3922.0,17866.0,23247.0,22523.0,Balance Sheet
"Goodwill, Net",,,,,,4875.0,4744.0,18186.0,Balance Sheet
Intangibles - Gross,,,,,,3668.0,5544.0,11969.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-51.0,-388.0,-709.0,Balance Sheet
Intangibles - Net,,,,,,3617.0,5156.0,11260.0,Balance Sheet
Note Rcvble - Long Term,,,,,6268.0,,,,Balance Sheet
Other Long Term Assets,,,,,5466.0,10350.0,10004.0,14577.0,Balance Sheet
Total Assets,,,,,388738.0,391468.0,387921.0,394841.0,Balance Sheet
Accounts Payable,,,,,1824.0,1795.0,2100.0,2017.0,Balance Sheet
Accrued Expenses,,,,,31117.0,27277.0,32730.0,39134.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,74294.0,76077.0,73795.0,78034.0,Balance Sheet
Income Taxes Payable,,,,,3945.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,78239.0,76077.0,73795.0,78034.0,Balance Sheet
Total Current Liabilities,,,,,111180.0,105149.0,108625.0,119185.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,,5210.0,5818.0,12173.0,12684.0,Balance Sheet
"Other Liabilities, Total",,,,,21993.0,35264.0,29872.0,30260.0,Balance Sheet
Total Liabilities,,,,,138383.0,146231.0,150670.0,162129.0,Balance Sheet
Redeemable Preferred Stock,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,18.0,18.0,18.0,19.0,Balance Sheet
Additional Paid-In Capital,,,,,625056.0,634070.0,644931.0,655968.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-375297.0,-386967.0,-396796.0,-404208.0,Balance Sheet
