,AVPT
% Above Low,0.40880000000000005
% Held by Institutions,0.39799999999999996
52-Wk Range,['3.40 - 7.19']
Annual Dividend $,
Annual Dividend %,
Ask,4.8
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,4.5
Bid Size,1000.0
Closing Price,4.79
Day Change $,0.01
Day Change %,0.0021
Day High,4.84
Day Low,4.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.2
Ex-dividend Date,No dividend
Historical Volatility,0.5770000000000001
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,894.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.78
Short Interest,0.0661
Today's Open,4.74
Volume,186553.0
Volume 10-day Avg,737621.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-3.0
Growth 2yr High Est,-9.0
Growth 2yr Consensus Est,-6.0
Growth 5yr Low Est,-3.0
Growth 5yr High Est,-9.0
Growth 5yr Consensus Est,-6.0
Growth 5yr Actual/Est,-3.4761904761904763
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),4.01742
Price/Book (MRQ),3.79671
Price/Cash Flow (TTM),
5yr Low,3.4
5yr High,17.9
5yr Avg Return,-0.07354999999999999
Short Int Current Month,5841181.0
Short Int Prev Month,5884219.0
Short Int Pct of Float,0.0661092
Days to Cover,7.56727
Float,116.7973
Shares Outstanding,186.6709
Institutions Holding Shares,125.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7222
Operating Profit Margin (TTM),-0.18280000000000002
Net Profit Margin (TTM),-0.1551
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2386
EPS Growth (TTM),0.574
Revenue Growth (MRQ),0.1264
Revenue Growth (TTM),0.20829999999999999
Return On Equity (TTM),-0.1539
Return On Assets (TTM),-0.0891
Return On Investment (TTM),-0.12810000000000002
Revenue Per Employee (TTM),115082.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),-5.78
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,2022-11-11 00:00:00
newConstructs since,
marketEdge opinion since,
