,AVPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.02,9.39,Valuation,0.42811501597444085
Price/Book (MRQ),3.8,12.63,Valuation,0.30087094220110844
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7222,0.7206,Profitability,1.0022203719122953
Operating Profit Margin (TTM),-0.18280000000000002,0.2172,Profitability,-0.841620626151013
Net Profit Margin (TTM),-0.1551,0.1553,Profitability,-0.9987121699935608
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.2386,-0.0752,Gowth rates,-3.1728723404255317
EPS Growth (TTM),0.574,-0.2824,Gowth rates,-2.0325779036827196
Revenue Growth (MRQ),0.1264,0.15560000000000002,Gowth rates,0.8123393316195373
Revenue Growth (TTM),0.20829999999999999,0.1906,Gowth rates,1.0928646379853095
Return On Equity (TTM),-0.1539,0.2189,Effectiveness,-0.7030607583371402
Return On Assets (TTM),-0.0891,0.10740000000000001,Effectiveness,-0.829608938547486
Return On Investment (TTM),-0.12810000000000002,0.1387,Effectiveness,-0.9235760634462872
Revenue Per Employee (TTM),115082.0,667721.0,Effectiveness,0.17235042779843676
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0004,Financial strength,-25.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-5.78,0.28,Financial strength,-20.642857142857142
