,IIIN
% Above Low,0.184
% Held by Institutions,0.7746
52-Wk Range,['24.00 - 47.70']
Annual Dividend $,0.12
Annual Dividend %,0.0042
Ask,29.28
Ask Size,2400.0
B/A Ratio,0.041666666666666664
B/A Size,100x2400
Beta,1.2
Bid,28.06
Bid Size,100.0
Closing Price,28.41
Day Change $,0.19
Day Change %,0.0067
Day High,28.96
Day Low,28.34
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",6.37
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.44200000000000006
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,553.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.46
Prev Close,28.22
Short Interest,0.038900000000000004
Today's Open,28.44
Volume,35079.0
Volume 10-day Avg,110186.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.3402777777777777
Growth 2yr High Est,-0.14601769911504414
Growth 2yr Consensus Est,0.09713003933136677
Growth 5yr Low Est,0.3402777777777777
Growth 5yr High Est,-0.14601769911504414
Growth 5yr Consensus Est,0.09713003933136677
Growth 5yr Actual/Est,0.6886261937095831
Growth 3yr Historic,0.7826034519725557
Price/Earnings (TTM),4.46271
Price/Sales (TTM),0.66927
Price/Book (MRQ),1.41983
Price/Cash Flow (TTM),3.96692
5yr Low,10.0
5yr High,47.7
5yr Avg Return,0.04865000000000001
EPS Growth 5yr,0.4025723
Revenue Growth 5yr,0.1628464
Dividend Growth 5yr,-0.0436475
Short Int Current Month,720007.0
Short Int Prev Month,831367.0
Short Int Pct of Float,0.0389189
Days to Cover,6.11991
Float,18.50019
Shares Outstanding,19.4781
Institutions Holding Shares,207.0
FCF Growth 5yr,-1.8093889788860171
"Price/Earnings (TTM, GAAP)",4.46
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2386
Operating Profit Margin (TTM),0.1954
Net Profit Margin (TTM),0.1512
Annual Dividend Yield,0.0042
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.36869999999999997
EPS Growth (TTM),0.8692000000000001
Revenue Growth (MRQ),-0.0844
Revenue Growth (TTM),0.4
Return On Equity (TTM),0.3614
Return On Assets (TTM),0.2899
Return On Investment (TTM),0.342
Revenue Per Employee (TTM),857710.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.2
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-26 00:00:00
researchTeam since,2022-07-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
marketEdge opinion since,
