,UVSP
% Above Low,0.1721
% Held by Institutions,0.7232999999999999
52-Wk Range,['23.48 - 31.93']
Annual Dividend $,0.84
Annual Dividend %,0.03
Ask,27.57
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,27.52
Bid Size,100.0
Closing Price,27.52
Day Change $,-0.5
Day Change %,-0.0178
Day High,28.02
Day Low,27.47
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.42
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.264
Last (size),27500.0
Last (time),4:00p ET 11/28/22
Market Cap,804.8M
"P/E Ratio (TTM, GAAP)",11.57
Prev Close,28.02
Short Interest,0.0077
Today's Open,28.02
Volume,100677.0
Volume 10-day Avg,83836.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.16828478964401294
Growth 1yr High Est,-0.17721518987341778
Growth 1yr Consensus Est,-0.17274998975871536
Growth 2yr Low Est,-0.023831110775313857
Growth 2yr High Est,-0.005915287244401268
Growth 2yr Consensus Est,-0.014873199009857563
Growth 5yr Low Est,0.08295051604091447
Growth 5yr High Est,0.09972092780637076
Growth 5yr Consensus Est,0.09133572192364262
Growth 5yr Actual/Est,0.1486131386986465
Growth 3yr Historic,0.1537342451059265
Price/Earnings (TTM),11.5712
Price/Sales (TTM),2.92086
Price/Book (MRQ),1.08643
Price/Cash Flow (TTM),10.45946
5yr Low,13.2
5yr High,31.93
5yr Avg Return,0.014350000000000007
EPS Growth 5yr,0.2978488
Revenue Growth 5yr,0.1062187
Dividend Growth 5yr,0.0
Short Int Current Month,218959.0
Short Int Prev Month,275247.0
Short Int Pct of Float,0.0076514
Days to Cover,2.14141
Float,28.61277
Shares Outstanding,29.24245
Institutions Holding Shares,195.0
FCF Growth 5yr,0.3744638097617858
"Price/Earnings (TTM, GAAP)",11.57
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.31930000000000003
Net Profit Margin (TTM),0.2556
Annual Dividend Yield,0.03
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.5889
EPS Growth (TTM),-0.287
Revenue Growth (MRQ),0.1791
Revenue Growth (TTM),0.0874
Return On Equity (TTM),0.095
Return On Assets (TTM),0.0103
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
