,GLNG
% Below High,0.1704
% Held by Institutions,0.7570999999999999
52-Wk Range,['10.79 - 30.66']
Annual Dividend $,
Annual Dividend %,
Ask,25.85
Ask Size,100.0
B/A Ratio,46.0
B/A Size,4600x100
Beta,0.6
Bid,24.82
Bid Size,4600.0
Closing Price,25.43
Day Change $,0.3
Day Change %,0.011899999999999999
Day High,25.66
Day Low,25.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.5
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",3.39
Prev Close,25.13
Short Interest,0.0253
Today's Open,25.43
Volume,393371.0
Volume 10-day Avg,1445981.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-3.552631578947368
Growth 2yr High Est,-0.28398058252427183
Growth 2yr Consensus Est,-1.91830608073582
Growth 5yr Low Est,-3.552631578947368
Growth 5yr High Est,-0.28398058252427183
Growth 5yr Consensus Est,-1.91830608073582
Growth 5yr Actual/Est,-0.07197356378518338
Growth 3yr Historic,-0.12132725430597768
Price/Earnings (TTM),3.39233
Price/Sales (TTM),8.44162
Price/Book (MRQ),1.12592
Price/Cash Flow (TTM),2.60912
5yr Low,4.54
5yr High,35.54
5yr Avg Return,0.09706666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4128171
Dividend Growth 5yr,
Short Int Current Month,2448341.0
Short Int Prev Month,2480832.0
Short Int Pct of Float,0.025252
Days to Cover,1.54828
Float,91.89247
Shares Outstanding,107.5
Institutions Holding Shares,293.0
FCF Growth 5yr,-0.2937908496732027
"Price/Earnings (TTM, GAAP)",3.39
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7468000000000001
Operating Profit Margin (TTM),1.9269
Net Profit Margin (TTM),3.0337
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2527
EPS Growth (TTM),5.8816
Revenue Growth (MRQ),0.13470000000000001
Revenue Growth (TTM),-0.0913
Return On Equity (TTM),0.39170000000000005
Return On Assets (TTM),0.2138
Return On Investment (TTM),0.3018
Revenue Per Employee (TTM),190158.0
Total Debt/Total Capital (MRQ),0.32310000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-24 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
