,TPC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,41.93,Valuation,
Price/Sales (TTM),0.1,1.42,Valuation,0.07042253521126761
Price/Book (MRQ),0.27,3.73,Valuation,0.07238605898123325
"PEG Ratio (TTM, GAAP)",,0.71,Valuation,
Gross Profit Margin (TTM),0.0461,0.0432,Profitability,1.0671296296296295
Operating Profit Margin (TTM),-0.013000000000000001,0.0655,Profitability,-0.1984732824427481
Net Profit Margin (TTM),-0.016200000000000003,0.041299999999999996,Profitability,-0.39225181598062964
Annual Dividend Yield,,0.0045000000000000005,Dividend,
Dividend Change %,,0.127,Dividend,
"Dividend Growth Rate, 3 Years",,0.0315,Dividend,
EPS Growth (MRQ),0.48610000000000003,0.0989,Gowth rates,4.915065722952478
EPS Growth (TTM),-1.8963999999999999,0.5874,Gowth rates,-3.228464419475655
Revenue Growth (MRQ),0.2438,0.233,Gowth rates,1.046351931330472
Revenue Growth (TTM),-0.2086,0.2229,Gowth rates,-0.9358456707043518
Return On Equity (TTM),-0.0556,0.1057,Effectiveness,-0.5260170293282875
Return On Assets (TTM),-0.013300000000000001,0.0404,Effectiveness,-0.3292079207920792
Return On Investment (TTM),-0.0227,0.0584,Effectiveness,-0.3886986301369863
Revenue Per Employee (TTM),502677.0,447825.0,Effectiveness,1.122485345838218
Total Debt/Total Capital (MRQ),0.3875,0.40990000000000004,Financial strength,0.945352525006099
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.004,Financial strength,0.025
Quick Ratio (MRQ),,1.07,Financial strength,
Interest Coverage (MRQ),-0.41,12.43,Financial strength,-0.0329847144006436
