,TPC
% Above Low,0.35369999999999996
% Held by Institutions,0.6581
52-Wk Range,['5.40 - 13.97']
Annual Dividend $,
Annual Dividend %,
Ask,7.39
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,7.06
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,7.31
Day Change $,-0.67
Day Change %,-0.084
Day High,7.97
Day Low,7.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.71
Ex-dividend Date,No dividend
Historical Volatility,0.455
Last (size),3.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,376.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.98
Short Interest,0.0478
Today's Open,7.95
Volume,329709.0
Volume 10-day Avg,305826.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-2.4176470588235297
Growth 1yr High Est,-2.2033898305084745
Growth 1yr Consensus Est,-2.310518444666002
Growth 2yr Low Est,-1.8021845252623874
Growth 2yr High Est,-1.9655446805124532
Growth 2yr Consensus Est,-1.8838646028874204
Growth 5yr Low Est,-1.2441913929099675
Growth 5yr High Est,-1.362744072722588
Growth 5yr Consensus Est,-1.3034677328162776
Growth 5yr Actual/Est,-1.687924934837261
Growth 3yr Historic,-0.7538273750413771
Price/Earnings (TTM),
Price/Sales (TTM),0.10479
Price/Book (MRQ),0.26738
Price/Cash Flow (TTM),24.95305
5yr Low,2.61
5yr High,28.3
5yr Avg Return,-0.1642833333333333
EPS Growth 5yr,-0.0141506
Revenue Growth 5yr,-0.0136914
Dividend Growth 5yr,
Short Int Current Month,1998748.0
Short Int Prev Month,2210517.0
Short Int Pct of Float,0.047845700000000005
Days to Cover,4.1616
Float,41.84965
Shares Outstanding,51.48522
Institutions Holding Shares,201.0
FCF Growth 5yr,-0.27057587851846
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0461
Operating Profit Margin (TTM),-0.013000000000000001
Net Profit Margin (TTM),-0.016200000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.48610000000000003
EPS Growth (TTM),-1.8963999999999999
Revenue Growth (MRQ),0.2438
Revenue Growth (TTM),-0.2086
Return On Equity (TTM),-0.0556
Return On Assets (TTM),-0.013300000000000001
Return On Investment (TTM),-0.0227
Revenue Per Employee (TTM),502677.0
Total Debt/Total Capital (MRQ),0.3875
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.41
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-12 00:00:00
theStreet since,2022-07-12 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
