,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,13.34,29.8,42.27,66.55,183.88,136.81,,,,,
low,10.53,11.65,17.53,8.4,60.67,46.08,,,,,
change,0.1607,1.0554000000000001,0.6043999999999999,0.48380000000000006,1.0304,-0.2625,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,213.0,172.0,187.0,143.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,203.0,394.0,452.0,429.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-21.0,-19.0,-28.0,-31.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,183.0,376.0,423.0,398.0,Balance Sheet
Other Receivables,,,,,,,35.0,41.0,19.0,26.0,Balance Sheet
"Total Receivables, Net",,,,,,,217.0,417.0,442.0,424.0,Balance Sheet
Total Inventory,,,,,,,214.0,408.0,502.0,514.0,Balance Sheet
Prepaid Expenses,,,,,,,23.0,42.0,37.0,43.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,,,,,667.0,1039.0,1168.0,1123.0,Balance Sheet
Buildings,,,,,,,65.0,,,67.0,Balance Sheet
Machinery/Equipment,,,,,,,54.0,,,126.0,Balance Sheet
Construction in Progress,,,,,,,53.0,,,25.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,181.0,221.0,229.0,285.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,353.0,221.0,229.0,503.0,Balance Sheet
Accumulated Depreciation,,,,,,,-84.0,-86.0,-89.0,-91.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,269.0,335.0,376.0,412.0,Balance Sheet
"Goodwill, Net",,,,,,,2.0,642.0,714.0,714.0,Balance Sheet
Intangibles - Gross,,,,,,,137.0,2008.0,1921.0,1924.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-108.0,-112.0,-117.0,-122.0,Balance Sheet
Intangibles - Net,,,,,,,29.0,1896.0,1804.0,1803.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,567.0,548.0,514.0,482.0,Balance Sheet
Restricted Cash - LT,,,,,,,4.0,3.0,3.0,3.0,Balance Sheet
Other Long Term Assets,,,,,,,8.0,7.0,7.0,6.0,Balance Sheet
Total Assets,,,,,,,1545.0,4471.0,4587.0,4543.0,Balance Sheet
Accounts Payable,,,,,,,162.0,203.0,225.0,190.0,Balance Sheet
Accrued Expenses,,,,,,,160.0,154.0,194.0,191.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,,25.0,25.0,20.0,Balance Sheet
Customer Advances,,,,,,,7.0,8.0,8.0,9.0,Balance Sheet
Income Taxes Payable,,,,,,,16.0,67.0,59.0,77.0,Balance Sheet
Other Current Liabilities,,,,,,,42.0,73.0,91.0,84.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,66.0,149.0,157.0,170.0,Balance Sheet
Total Current Liabilities,,,,,,,388.0,531.0,602.0,571.0,Balance Sheet
Total Long Term Debt,,,,,,,771.0,2851.0,2744.0,2596.0,Balance Sheet
Total Debt,,,,,,,771.0,2876.0,2769.0,2616.0,Balance Sheet
Deferred Income Tax,,,,,,,,330.0,313.0,313.0,Balance Sheet
"Other Liabilities, Total",,,,,,,371.0,409.0,436.0,433.0,Balance Sheet
Total Liabilities,,,,,,,1531.0,4121.0,4095.0,3912.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,496.0,775.0,784.0,792.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1279.0,1352.0,1512.0,1681.0,Balance Sheet
Treasury Stock - Common,,,,,,,-1684.0,-1690.0,-1691.0,-1695.0,Balance Sheet
"Other Equity, Total",,,,,,,-77.0,-87.0,-113.0,-147.0,Balance Sheet
Total Equity,,,,,,,14.0,349.0,492.0,631.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1545.0,4471.0,4587.0,4543.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,58.0,62.0,62.0,62.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,48.0,48.0,48.0,48.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,587.0,660.0,965.0,985.0,Income Statement
"Cost of Revenue, Total",,,,,,,215.0,335.0,467.0,444.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,204.0,177.0,241.0,269.0,Income Statement
Labor & Related Expense,,,,,,,8.0,8.0,9.0,8.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,212.0,186.0,250.0,277.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,21.0,,,Income Statement
Total Operating Expense,,,,,,,427.0,541.0,717.0,721.0,Income Statement
Total Operating Income,,,,,,,160.0,119.0,248.0,264.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-9.0,-19.0,-33.0,-34.0,Income Statement
"Inter Income, Non-Operating",,,,,,,0.0,0.0,0.0,0.0,Income Statement
"Invest Income, Non-Operat",,,,,,,0.0,0.0,-1.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,0.0,1.0,-1.0,0.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,2.0,-1.0,0.0,0.0,Income Statement
"Other, Net",,,,,,,2.0,-1.0,0.0,0.0,Income Statement
