,CROX
% Above Low,1.0597
% Held by Institutions,0.847
52-Wk Range,['46.08 - 173.88']
Annual Dividend $,
Annual Dividend %,
Ask,95.03
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.9
Bid,94.01
Bid Size,100.0
Closing Price,94.91
Day Change $,-1.72
Day Change %,-0.0178
Day High,96.8
Day Low,94.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.06
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),30.0
Last (time),12:59p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.47
Prev Close,96.63
Short Interest,0.08539999999999999
Today's Open,95.9
Volume,711737.0
Volume 10-day Avg,2068761.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.26543209876543217
Growth 1yr High Est,0.2827669902912622
Growth 1yr Consensus Est,0.27409954452834717
Growth 2yr Low Est,0.009789220114423403
Growth 2yr High Est,0.2227458414086395
Growth 2yr Consensus Est,0.11626753076153146
Growth 5yr Low Est,1.0365401796774647
Growth 5yr High Est,1.1174704816799295
Growth 5yr Consensus Est,1.0770053306786973
Growth 5yr Actual/Est,0.7131878947255335
Growth 3yr Historic,0.6459627329192547
Price/Earnings (TTM),10.47068
Price/Sales (TTM),1.83335
Price/Book (MRQ),9.28334
Price/Cash Flow (TTM),9.90036
5yr Low,8.4
5yr High,183.88
5yr Avg Return,0.5120333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.1742374
Dividend Growth 5yr,
Short Int Current Month,5133121.0
Short Int Prev Month,4540333.0
Short Int Pct of Float,0.0854331
Days to Cover,1.84607
Float,60.05755
Shares Outstanding,61.74493
Institutions Holding Shares,484.0
FCF Growth 5yr,-1.7704030980466847
"Price/Earnings (TTM, GAAP)",10.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5431
Operating Profit Margin (TTM),0.24739999999999998
Net Profit Margin (TTM),0.1743
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0541
EPS Growth (TTM),-0.2126
Revenue Growth (MRQ),0.0213
Revenue Growth (TTM),0.4949
Return On Equity (TTM),1.1331
Return On Assets (TTM),0.1772
Return On Investment (TTM),0.2077
Revenue Per Employee (TTM),553977.0
Total Debt/Total Capital (MRQ),0.8057
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),7.65
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-02-07 00:00:00
cfra since,2021-10-14 00:00:00
ford since,2022-07-08 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-02-07 00:00:00
