,CROX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.47,21.69,Valuation,0.4827109266943292
Price/Sales (TTM),1.83,3.75,Valuation,0.48800000000000004
Price/Book (MRQ),9.28,9.43,Valuation,0.9840933191940615
"PEG Ratio (TTM, GAAP)",,2.33,Valuation,
Gross Profit Margin (TTM),0.5431,0.49729999999999996,Profitability,1.0920973255580133
Operating Profit Margin (TTM),0.24739999999999998,0.1348,Profitability,1.8353115727002967
Net Profit Margin (TTM),0.1743,0.0965,Profitability,1.806217616580311
Annual Dividend Yield,,0.013999999999999999,Dividend,
Dividend Change %,,0.0796,Dividend,
"Dividend Growth Rate, 3 Years",,0.059800000000000006,Dividend,
EPS Growth (MRQ),0.0541,0.44920000000000004,Gowth rates,0.12043633125556544
EPS Growth (TTM),-0.2126,0.0931,Gowth rates,-2.2835660580021484
Revenue Growth (MRQ),0.0213,0.0901,Gowth rates,0.23640399556048833
Revenue Growth (TTM),0.4949,0.1015,Gowth rates,4.8758620689655165
Return On Equity (TTM),1.1331,0.35840000000000005,Effectiveness,3.161551339285714
Return On Assets (TTM),0.1772,0.14250000000000002,Effectiveness,1.2435087719298243
Return On Investment (TTM),0.2077,0.1893,Effectiveness,1.0972002113048072
Revenue Per Employee (TTM),553977.0,519163.0,Effectiveness,1.067057937487841
Total Debt/Total Capital (MRQ),0.8057,0.31579999999999997,Financial strength,2.551298290056998
Change in Debt/Total Capital Quarter over Quarter,0.0046,-0.0002,Financial strength,-23.0
Quick Ratio (MRQ),1.07,1.39,Financial strength,0.7697841726618706
Interest Coverage (MRQ),7.65,76.17,Financial strength,0.10043324143363529
