,RLGY
% Above Low,0.1241
% Held by Institutions,1.0874
52-Wk Range,['6.09 - 20.59']
Annual Dividend $,
Annual Dividend %,
Ask,7.5
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,2.2
Bid,6.0
Bid Size,100.0
Closing Price,6.84
Day Change $,0.19
Day Change %,0.0286
Day High,6.85
Day Low,6.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.81
Ex-dividend Date,No dividend
Historical Volatility,0.561
Last (size),53.0
Last (time),5:00p ET 11/25/22
Market Cap,748.8M
"P/E Ratio (TTM, GAAP)",3.77
Prev Close,6.65
Short Interest,0.1354
Today's Open,6.67
Volume,672117.0
Volume 10-day Avg,1788540.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.5944055944055944
Growth 1yr High Est,-0.5209003215434083
Growth 1yr Consensus Est,-0.5576529579745013
Growth 2yr Low Est,-0.335995900651073
Growth 2yr High Est,-0.16313472453009337
Growth 2yr Consensus Est,-0.24956531259058318
Growth 5yr Low Est,-0.04478579756666523
Growth 5yr High Est,0.010603051186633516
Growth 5yr Consensus Est,-0.017091373190015857
Growth 5yr Actual/Est,0.2538257680682933
Growth 3yr Historic,0.3695127304653204
Price/Earnings (TTM),3.7714
Price/Sales (TTM),0.09907
Price/Book (MRQ),0.33835
Price/Cash Flow (TTM),1.6678
5yr Low,2.09
5yr High,28.07
5yr Avg Return,-0.12906666666666666
EPS Growth 5yr,0.1432819
Revenue Growth 5yr,0.0656093
Dividend Growth 5yr,
Short Int Current Month,14399956.0
Short Int Prev Month,14080061.0
Short Int Pct of Float,0.1353644
Days to Cover,7.42902
Float,106.3757
Shares Outstanding,109.4801
Institutions Holding Shares,293.0
FCF Growth 5yr,-0.6323911045550746
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-04-29 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
