,CFLT
% Above Low,0.37229999999999996
% Held by Institutions,0.7545999999999999
52-Wk Range,['16.48 - 85.50']
Annual Dividend $,
Annual Dividend %,
Ask,22.62
Ask Size,2200.0
B/A Ratio,0.09090909090909091
B/A Size,200x2200
Beta,
Bid,22.5
Bid Size,200.0
Closing Price,22.62
Day Change $,-0.56
Day Change %,-0.0242
Day High,23.12
Day Low,22.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.67
Ex-dividend Date,No dividend
Historical Volatility,0.965
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,6.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.18
Short Interest,0.0855
Today's Open,22.8
Volume,649776.0
Volume 10-day Avg,2914953.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.2637362637362637
Growth 1yr High Est,-0.015625
Growth 1yr Consensus Est,-0.13968063186813184
Growth 2yr Low Est,-0.19903231097260954
Growth 2yr High Est,-0.16654265873015872
Growth 2yr Consensus Est,-0.18278748485138413
Growth 5yr Low Est,-0.19903231097260954
Growth 5yr High Est,-0.16654265873015872
Growth 5yr Consensus Est,-0.18278748485138413
Growth 5yr Actual/Est,-0.22978533094812165
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),12.05945
Price/Book (MRQ),8.23361
Price/Cash Flow (TTM),
5yr Low,16.48
5yr High,94.97
5yr Avg Return,0.01394999999999996
Short Int Current Month,12915829.0
Short Int Prev Month,15322165.0
Short Int Pct of Float,0.0855273
Days to Cover,2.84189
Float,151.3913
Shares Outstanding,286.4018
Institutions Holding Shares,290.0
FCF Growth 5yr,0.2108981145392216
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6377
Operating Profit Margin (TTM),-0.8588
Net Profit Margin (TTM),-0.8583
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.027400000000000004
EPS Growth (TTM),-0.5884
Revenue Growth (MRQ),0.0884
Revenue Growth (TTM),0.5881000000000001
Return On Equity (TTM),-0.5255
Return On Assets (TTM),-0.2545
Return On Investment (TTM),-0.3103
Revenue Per Employee (TTM),271179.0
Total Debt/Total Capital (MRQ),0.5802
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-11 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
theStreet since,2022-08-11 00:00:00
newConstructs since,
marketEdge opinion since,
