,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,94.97,81.11,,,,,
low,37.71,16.48,,,,,
change,0.7327,-0.7048000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,1376.0,1048.0,530.0,503.0,Balance Sheet
Short Term Investments,,,640.0,943.0,1428.0,1436.0,Balance Sheet
Cash and Short Term Invs,,,2016.0,1991.0,1958.0,1940.0,Balance Sheet
"Total Receivables, Net",,,137.0,125.0,149.0,143.0,Balance Sheet
Prepaid Expenses,,,45.0,52.0,56.0,59.0,Balance Sheet
"Other Curr. Assets, Total",,,28.0,28.0,29.0,33.0,Balance Sheet
Total Current Assets,,,2226.0,2195.0,2192.0,2175.0,Balance Sheet
Buildings,,,0.0,0.0,0.0,0.0,Balance Sheet
Machinery/Equipment,,,13.0,16.0,22.0,27.0,Balance Sheet
Construction in Progress,,,5.0,7.0,6.0,7.0,Balance Sheet
Other Prop./Plant/Equip.,,,39.0,36.0,34.0,33.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,57.0,60.0,62.0,67.0,Balance Sheet
Accumulated Depreciation,,,-5.0,-6.0,-8.0,-10.0,Balance Sheet
Prop./Plant/Equip. - Net,,,52.0,53.0,54.0,57.0,Balance Sheet
Other Long Term Assets,,,14.0,15.0,24.0,21.0,Balance Sheet
Total Assets,,,2343.0,2318.0,2325.0,2314.0,Balance Sheet
Accounts Payable,,,8.0,8.0,16.0,14.0,Balance Sheet
Accrued Expenses,,,96.0,71.0,88.0,81.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,221.0,235.0,255.0,259.0,Balance Sheet
Other Current Liabilities,,,24.0,16.0,18.0,25.0,Balance Sheet
"Other Curr. Lblts, Total",,,245.0,251.0,273.0,284.0,Balance Sheet
Total Current Liabilities,,,348.0,331.0,376.0,379.0,Balance Sheet
