,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,21.69,19.41,,,,,
low,12.63,11.25,,,,,
change,0.1607,-0.15539999999999998,,,,,
Date,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash & Equivalents,,,39.0,32.0,26.0,28.0,Balance Sheet
Short Term Investments,,,0.0,,,,Balance Sheet
Cash and Short Term Invs,,,39.0,32.0,26.0,28.0,Balance Sheet
"Trade Accts Recvble, Net",,,47.0,45.0,45.0,47.0,Balance Sheet
Other Receivables,,,15.0,12.0,15.0,17.0,Balance Sheet
"Total Receivables, Net",,,62.0,56.0,60.0,63.0,Balance Sheet
Invent. - Finished Goods,,,19.0,24.0,29.0,31.0,Balance Sheet
Invent. - Work In Progress,,,1.0,0.0,1.0,0.0,Balance Sheet
Invent. - Raw Materials,,,15.0,17.0,18.0,18.0,Balance Sheet
Total Inventory,,,35.0,41.0,47.0,49.0,Balance Sheet
Prepaid Expenses,,,21.0,20.0,29.0,33.0,Balance Sheet
"Other Curr. Assets, Total",,,1.0,1.0,0.0,0.0,Balance Sheet
Total Current Assets,,,157.0,150.0,163.0,175.0,Balance Sheet
Prop./Plant/Equip. - Net,,,874.0,875.0,863.0,861.0,Balance Sheet
"Goodwill, Net",,,1105.0,1105.0,1083.0,1074.0,Balance Sheet
Intangibles - Gross,,,1096.0,1096.0,1082.0,1082.0,Balance Sheet
Accum. Intangible Amort.,,,-104.0,-110.0,-113.0,-116.0,Balance Sheet
Intangibles - Net,,,993.0,986.0,969.0,966.0,Balance Sheet
Other Long Term Assets,,,16.0,18.0,22.0,26.0,Balance Sheet
Total Assets,,,3145.0,3133.0,3100.0,3102.0,Balance Sheet
Accounts Payable,,,298.0,303.0,323.0,311.0,Balance Sheet
Accrued Expenses,,,191.0,155.0,154.0,157.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,37.0,37.0,40.0,40.0,Balance Sheet
Total Current Liabilities,,,526.0,495.0,517.0,509.0,Balance Sheet
Long Term Debt,,,657.0,658.0,663.0,713.0,Balance Sheet
Capital Lease Obligations,,,23.0,23.0,23.0,26.0,Balance Sheet
Total Long Term Debt,,,680.0,681.0,686.0,739.0,Balance Sheet
Total Debt,,,717.0,717.0,726.0,779.0,Balance Sheet
Deferred Income Tax,,,145.0,150.0,142.0,140.0,Balance Sheet
Minority Interest,,,104.0,105.0,102.0,100.0,Balance Sheet
"Other Liabilities, Total",,,458.0,452.0,445.0,440.0,Balance Sheet
Total Liabilities,,,1914.0,1883.0,1893.0,1928.0,Balance Sheet
Common Stock,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,1415.0,1420.0,1420.0,1423.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-178.0,-180.0,-190.0,-209.0,Balance Sheet
Cum. Trans. Adjustment,,,9.0,10.0,-26.0,-51.0,Balance Sheet
