,DNUT
% Below High,0.1826
% Held by Institutions,0.2974
52-Wk Range,['11.25 - 19.55']
Annual Dividend $,0.14
Annual Dividend %,0.0088
Ask,15.99
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,15.87
Bid Size,200.0
Closing Price,15.98
Day Change $,0.09
Day Change %,0.005699999999999999
Day High,16.04
Day Low,15.84
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",-0.07
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.47600000000000003
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.89
Short Interest,0.1308
Today's Open,15.92
Volume,308241.0
Volume 10-day Avg,1164897.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1785714285714286
Growth 2yr High Est,0.4838709677419355
Growth 2yr Consensus Est,0.33122119815668205
Growth 5yr Low Est,0.1785714285714286
Growth 5yr High Est,0.4838709677419355
Growth 5yr Consensus Est,0.33122119815668205
Growth 5yr Actual/Est,0.08154706430568504
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.78866
Price/Book (MRQ),2.28016
Price/Cash Flow (TTM),24.86082
5yr Low,11.25
5yr High,21.69
5yr Avg Return,0.0026500000000000056
Short Int Current Month,8704418.0
Short Int Prev Month,9011881.0
Short Int Pct of Float,0.1308128
Days to Cover,11.37314
Float,82.85541
Shares Outstanding,167.4371
Institutions Holding Shares,158.0
FCF Growth 5yr,-2.362564687881242
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2919
Operating Profit Margin (TTM),0.0269
Net Profit Margin (TTM),-0.0023
Annual Dividend Yield,0.0088
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.3904
EPS Growth (TTM),
Revenue Growth (MRQ),0.0061
Revenue Growth (TTM),
Return On Equity (TTM),-0.0099
Return On Assets (TTM),-0.0011
Return On Investment (TTM),-0.0014000000000000002
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.37939999999999996
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.25
Interest Coverage (MRQ),0.86
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-16 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-16 00:00:00
marketEdge opinion since,
