,ORGO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.1,471.78,Valuation,0.012929755394463522
Price/Sales (TTM),0.78,45.03,Valuation,0.017321785476349102
Price/Book (MRQ),1.42,12.61,Valuation,0.11260904044409199
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7623000000000001,0.5874,Profitability,1.2977528089887642
Operating Profit Margin (TTM),0.07540000000000001,-4.7459,Profitability,-0.015887397543142504
Net Profit Margin (TTM),0.1306,-4.5467,Profitability,-0.02872412958849275
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.9753000000000001,-0.0014000000000000002,Gowth rates,696.6428571428571
EPS Growth (TTM),-0.0054,0.027200000000000002,Gowth rates,-0.19852941176470587
Revenue Growth (MRQ),-0.0374,1.3963999999999999,Gowth rates,-0.026783156688627904
Revenue Growth (TTM),0.0417,0.9747,Gowth rates,0.0427823945829486
Return On Equity (TTM),0.2727,0.1967,Effectiveness,1.3863751906456532
Return On Assets (TTM),0.1468,0.0016,Effectiveness,91.75
Return On Investment (TTM),0.18480000000000002,0.0219,Effectiveness,8.438356164383563
Revenue Per Employee (TTM),489405.0,1476201.0,Effectiveness,0.3315300558663759
Total Debt/Total Capital (MRQ),0.2207,0.4675,Financial strength,0.47208556149732617
Change in Debt/Total Capital Quarter over Quarter,-0.0029,0.0036,Financial strength,-0.8055555555555555
Quick Ratio (MRQ),2.31,2.06,Financial strength,1.1213592233009708
Interest Coverage (MRQ),4.18,2.69,Financial strength,1.553903345724907
