,ORGO
% Above Low,0.2444
% Held by Institutions,0.40630000000000005
52-Wk Range,['2.23 - 10.66']
Annual Dividend $,
Annual Dividend %,
Ask,2.78
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.4
Bid,2.78
Bid Size,300.0
Day Change $,-0.005
Day Change %,-0.0018
Day High,2.78
Day Low,2.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.46
Ex-dividend Date,No dividend
Historical Volatility,0.6950000000000001
Last (size),100.0
Last (time),9:37a ET 11/28/22
Market Cap,363.3M
"P/E Ratio (TTM, GAAP)",6.1
Prev Close,2.78
Price,2.78
Short Interest,0.09230000000000001
Today's Open,2.74
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8333333333333335
Growth 2yr High Est,0.9230769230769229
Growth 2yr Consensus Est,0.8782051282051282
Growth 5yr Low Est,0.8333333333333335
Growth 5yr High Est,0.9230769230769229
Growth 5yr Consensus Est,0.8782051282051282
Growth 5yr Actual/Est,0.5257790185166945
Growth 3yr Historic,0.5184659090909091
Price/Earnings (TTM),6.09796
Price/Sales (TTM),0.78278
Price/Book (MRQ),1.41984
Price/Cash Flow (TTM),5.07395
5yr Low,2.23
5yr High,310.9
5yr Avg Return,-0.08801666666666667
Short Int Current Month,5927106.0
Short Int Prev Month,5973096.0
Short Int Pct of Float,0.0923164
Days to Cover,8.37475
Float,64.69607
Shares Outstanding,130.9151
Institutions Holding Shares,209.0
FCF Growth 5yr,0.6913486942193682
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",6.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7623000000000001
Operating Profit Margin (TTM),0.07540000000000001
Net Profit Margin (TTM),0.1306
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9753000000000001
EPS Growth (TTM),-0.0054
Revenue Growth (MRQ),-0.0374
Revenue Growth (TTM),0.0417
Return On Equity (TTM),0.2727
Return On Assets (TTM),0.1468
Return On Investment (TTM),0.18480000000000002
Revenue Per Employee (TTM),489405.0
Total Debt/Total Capital (MRQ),0.2207
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),2.31
Interest Coverage (MRQ),4.18
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-08 00:00:00
theStreet since,2022-01-10 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
