,HPE
% Below High,0.10869999999999999
% Held by Institutions,0.8231999999999999
52-Wk Range,['11.90 - 17.76']
Annual Dividend $,0.48
Annual Dividend %,0.030299999999999997
Ask,16.8
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,14.2
Bid Size,400.0
Closing Price,15.83
Day Change $,0.03
Day Change %,0.0019
Day High,15.99
Day Low,15.73
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",2.8
Ex-dividend,2022-09-09 00:00:00
Ex-dividend Date,09/09/22
Historical Volatility,0.344
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,20.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.66
Prev Close,15.8
Short Interest,0.0183
Today's Open,15.8
Volume,5567625.0
Volume 10-day Avg,13234305.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.03684210526315801
Growth 1yr High Est,0.035532994923857864
Growth 1yr Consensus Est,0.036187550093507936
Growth 2yr Low Est,-0.022188084424258514
Growth 2yr High Est,0.05698218373643882
Growth 2yr Consensus Est,0.017397049656090152
Growth 5yr Low Est,0.044970806053766715
Growth 5yr High Est,0.0863693143919643
Growth 5yr Consensus Est,0.0656700602228655
Growth 5yr Actual/Est,0.06249296988098438
Growth 3yr Historic,0.053640929064657866
Price/Earnings (TTM),5.66296
Price/Sales (TTM),0.72799
Price/Book (MRQ),0.98923
Price/Cash Flow (TTM),3.27047
5yr Low,7.43
5yr High,19.48
5yr Avg Return,0.03860000000000001
EPS Growth 5yr,0.06719560000000001
Revenue Growth 5yr,-0.0170583
Dividend Growth 5yr,0.16886330000000002
Short Int Current Month,23515568.0
Short Int Prev Month,25777209.0
Short Int Pct of Float,0.0183437
Days to Cover,1.81381
Float,1269.424
Shares Outstanding,1286.701
Institutions Holding Shares,1102.0
FCF Growth 5yr,-0.39111270346921917
"Price/Earnings (TTM, GAAP)",5.66
"PEG Ratio (TTM, GAAP)",1.02
Gross Profit Margin (TTM),0.3335
Operating Profit Margin (TTM),0.135
Net Profit Margin (TTM),0.1331
Annual Dividend Yield,0.030299999999999997
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.005200000000000001
EPS Growth (MRQ),0.6435
EPS Growth (TTM),2.5907999999999998
Revenue Growth (MRQ),0.0355
Revenue Growth (TTM),0.0123
Return On Equity (TTM),0.198
Return On Assets (TTM),0.0653
Return On Investment (TTM),0.102
Revenue Per Employee (TTM),463229.0
Total Debt/Total Capital (MRQ),0.4018
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),97.5
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-10-14 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-09-03 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
