,SYBT
% Below High,0.0593
% Held by Institutions,0.5246
52-Wk Range,['50.83 - 78.71']
Annual Dividend $,1.16
Annual Dividend %,0.0154
Ask,74.13
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,73.97
Bid Size,200.0
Day Change $,-1.36
Day Change %,-0.018000000000000002
Day High,75.4
Day Low,73.95
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.09
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.269
Last (size),6.0
Last (time),3:50p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",24.43
Prev Close,75.4
Price,74.05
Short Interest,0.0269
Today's Open,75.21
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.11387900355871872
Growth 1yr High Est,0.12237762237762251
Growth 1yr Consensus Est,0.11812831296817061
Growth 2yr Low Est,0.1607733675940558
Growth 2yr High Est,0.1967028298804001
Growth 2yr Consensus Est,0.17873809873722796
Growth 5yr Low Est,0.0803866837970279
Growth 5yr High Est,0.09835141494020005
Growth 5yr Consensus Est,0.08936904936861398
Growth 5yr Actual/Est,0.0868478278578581
Growth 3yr Historic,0.010727979586111103
Price/Earnings (TTM),24.43356
Price/Sales (TTM),7.38027
Price/Book (MRQ),3.02966
Price/Cash Flow (TTM),20.59697
5yr Low,22.98
5yr High,78.71
5yr Avg Return,0.13083333333333333
EPS Growth 5yr,0.1051324
Revenue Growth 5yr,0.11618410000000001
Dividend Growth 5yr,0.0967036
Short Int Current Month,766544.0
Short Int Prev Month,892075.0
Short Int Pct of Float,0.026929500000000002
Days to Cover,10.48595
Float,28.1778
Shares Outstanding,29.25808
Institutions Holding Shares,212.0
FCF Growth 5yr,2.2325315005727377
"Price/Earnings (TTM, GAAP)",24.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.37979999999999997
Net Profit Margin (TTM),0.2943
Annual Dividend Yield,0.0154
Dividend Change %,-0.1852
"Dividend Growth Rate, 3 Years",0.061399999999999996
EPS Growth (MRQ),0.0599
EPS Growth (TTM),0.0984
Revenue Growth (MRQ),0.1405
Revenue Growth (TTM),0.33409999999999995
Return On Equity (TTM),0.1261
Return On Assets (TTM),0.0128
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0053
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-06-19 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
