,CVBF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.21,11.43,Valuation,1.5931758530183728
Price/Sales (TTM),7.61,3.3,Valuation,2.306060606060606
Price/Book (MRQ),2.11,1.46,Valuation,1.4452054794520548
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.5807,0.34240000000000004,Profitability,1.695969626168224
Net Profit Margin (TTM),0.4169,0.2812,Profitability,1.482574679943101
Annual Dividend Yield,0.0282,0.028700000000000003,Dividend,0.9825783972125435
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0874,0.0734,Dividend,1.1907356948228882
EPS Growth (MRQ),0.0681,-0.0335,Gowth rates,-2.032835820895522
EPS Growth (TTM),-0.0154,-0.09960000000000001,Gowth rates,0.1546184738955823
Revenue Growth (MRQ),0.0968,0.5429,Gowth rates,0.17830171302265607
Revenue Growth (TTM),0.1182,0.2466,Gowth rates,0.4793187347931873
Return On Equity (TTM),0.1094,0.1135,Effectiveness,0.9638766519823788
Return On Assets (TTM),0.013300000000000001,0.0099,Effectiveness,1.3434343434343434
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.003,0.0009,Financial strength,-3.3333333333333335
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
