,ADUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",39.15,29.13,Valuation,1.3439752832131824
Price/Sales (TTM),1.87,1.32,Valuation,1.4166666666666667
Price/Book (MRQ),2.82,4.31,Valuation,0.654292343387471
"PEG Ratio (TTM, GAAP)",2.61,0.26,Valuation,10.038461538461538
Gross Profit Margin (TTM),0.3189,0.1318,Profitability,2.4195751138088015
Operating Profit Margin (TTM),0.0724,0.0458,Profitability,1.5807860262008735
Net Profit Margin (TTM),0.0477,0.0242,Profitability,1.9710743801652892
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.0227,-0.1478,Gowth rates,-0.1535859269282815
EPS Growth (TTM),0.0886,-1.101,Gowth rates,-0.08047229791099
Revenue Growth (MRQ),0.015,0.0931,Gowth rates,0.16111707841031148
Revenue Growth (TTM),0.11109999999999999,0.1191,Gowth rates,0.9328295549958018
Return On Equity (TTM),0.0756,7.2022,Effectiveness,0.010496792646691289
Return On Assets (TTM),0.047400000000000005,0.0403,Effectiveness,1.1761786600496278
Return On Investment (TTM),0.054400000000000004,0.016,Effectiveness,3.4000000000000004
Revenue Per Employee (TTM),171475.0,1375304.0,Effectiveness,0.12468152495739124
Total Debt/Total Capital (MRQ),0.2101,0.4855,Financial strength,0.4327497425334707
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004,0.0015,Financial strength,-1.866666666666667
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),8.25,9.55,Financial strength,0.8638743455497382
