,ADUS
% Below High,0.039900000000000005
% Held by Institutions,1.0023
52-Wk Range,['68.57 - 112.11']
Annual Dividend $,
Annual Dividend %,
Ask,169.3
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,77.0
Bid Size,300.0
Closing Price,107.64
Day Change $,-0.95
Day Change %,-0.0087
Day High,108.97
Day Low,107.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.75
Ex-dividend Date,No dividend
Historical Volatility,0.402
Last (size),7.0
Last (time),12:52p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.15
Prev Close,108.59
Short Interest,0.0355
Today's Open,107.65
Volume,21248.0
Volume 10-day Avg,70793.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.06990881458966558
Growth 1yr High Est,-0.00544959128065392
Growth 1yr Consensus Est,0.03222961165450583
Growth 2yr Low Est,0.046318043658469144
Growth 2yr High Est,0.05891903997611131
Growth 2yr Consensus Est,0.052618541817290226
Growth 5yr Low Est,0.07056123545485245
Growth 5yr High Est,0.1044259397886345
Growth 5yr Consensus Est,0.08749358762174347
Growth 5yr Actual/Est,0.12704681057947712
Growth 3yr Historic,0.10264285714285715
Price/Earnings (TTM),39.14623
Price/Sales (TTM),1.86723
Price/Book (MRQ),2.81689
Price/Cash Flow (TTM),29.49584
5yr Low,31.2
5yr High,129.01
5yr Avg Return,0.27025000000000005
EPS Growth 5yr,0.2145499
Revenue Growth 5yr,0.16610969999999997
Dividend Growth 5yr,
Short Int Current Month,560817.0
Short Int Prev Month,584929.0
Short Int Pct of Float,0.035457
Days to Cover,4.69299
Float,15.79006
Shares Outstanding,16.11036
Institutions Holding Shares,293.0
FCF Growth 5yr,3.637966875930925
"Price/Earnings (TTM, GAAP)",39.15
"PEG Ratio (TTM, GAAP)",2.61
Gross Profit Margin (TTM),0.3189
Operating Profit Margin (TTM),0.0724
Net Profit Margin (TTM),0.0477
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0227
EPS Growth (TTM),0.0886
Revenue Growth (MRQ),0.015
Revenue Growth (TTM),0.11109999999999999
Return On Equity (TTM),0.0756
Return On Assets (TTM),0.047400000000000005
Return On Investment (TTM),0.054400000000000004
Revenue Per Employee (TTM),171475.0
Total Debt/Total Capital (MRQ),0.2101
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.25
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2020-09-18 00:00:00
ford since,2020-09-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-11-08 00:00:00
