,ACLS
% Below High,0.052000000000000005
% Held by Institutions,0.8845000000000001
52-Wk Range,['46.41 - 83.74']
Annual Dividend $,
Annual Dividend %,
Ask,79.92
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,1.6
Bid,78.84
Bid Size,100.0
Closing Price,79.38
Day Change $,0.31
Day Change %,0.0039000000000000003
Day High,79.59
Day Low,78.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.8
Ex-dividend Date,No dividend
Historical Volatility,0.685
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.55
Prev Close,79.07
Short Interest,0.0351
Today's Open,78.17
Volume,93576.0
Volume 10-day Avg,362111.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.8629032258064515
Growth 1yr High Est,2.5109489051094886
Growth 1yr Consensus Est,2.6869260654579703
Growth 2yr Low Est,1.4324954542393427
Growth 2yr High Est,1.3126470097273015
Growth 2yr Consensus Est,1.372571231983322
Growth 5yr Low Est,0.9549969694928951
Growth 5yr High Est,0.8750980064848677
Growth 5yr Consensus Est,0.9150474879888814
Growth 5yr Actual/Est,0.8880208333333333
Growth 3yr Historic,0.7083333333333334
Price/Earnings (TTM),16.54529
Price/Sales (TTM),3.03331
Price/Book (MRQ),4.25204
Price/Cash Flow (TTM),15.04856
5yr Low,12.99
5yr High,83.74
5yr Avg Return,0.2622333333333333
EPS Growth 5yr,0.5194229
Revenue Growth 5yr,0.19931149999999997
Dividend Growth 5yr,
Short Int Current Month,1131722.0
Short Int Prev Month,1257567.0
Short Int Pct of Float,0.0351214
Days to Cover,2.67814
Float,32.19281
Shares Outstanding,32.84862
Institutions Holding Shares,383.0
FCF Growth 5yr,0.5252224605680056
"Price/Earnings (TTM, GAAP)",16.55
"PEG Ratio (TTM, GAAP)",0.83
Gross Profit Margin (TTM),0.4441
Operating Profit Margin (TTM),0.23600000000000002
Net Profit Margin (TTM),0.1883
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0837
EPS Growth (TTM),1.1213
Revenue Growth (MRQ),0.0362
Revenue Growth (TTM),0.48479999999999995
Return On Equity (TTM),0.2873
Return On Assets (TTM),0.20010000000000003
Return On Investment (TTM),0.2544
Revenue Per Employee (TTM),766160.0
Total Debt/Total Capital (MRQ),0.0706
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),2.64
Interest Coverage (MRQ),239.65
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
ford since,2022-09-09 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-05-14 00:00:00
