,PSX
% Below High,0.0336
% Held by Institutions,0.6794
52-Wk Range,['67.93 - 113.53']
Annual Dividend $,3.88
Annual Dividend %,0.035
Ask,109.84
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,109.7
Bid Size,100.0
Day Change $,-1.06
Day Change %,-0.0096
Day High,110.0
Day Low,107.83
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",21.85
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.399
Last (size),160.0
Last (time),11:45a ET 11/28/22
Market Cap,51.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.07
Prev Close,110.78
Price,109.72
Short Interest,0.0229
Today's Open,108.25
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,1.098360655737705
Growth 1yr High Est,1.8464203233256349
Growth 1yr Consensus Est,1.47239048953167
Growth 2yr Low Est,0.3385433086380833
Growth 2yr High Est,0.8408572204863469
Growth 2yr Consensus Est,0.5897002645622151
Growth 5yr Low Est,0.16927165431904165
Growth 5yr High Est,0.42042861024317346
Growth 5yr Consensus Est,0.29485013228110757
Growth 5yr Actual/Est,-1.568272981801007
Growth 3yr Historic,-2.128763347058413
Price/Earnings (TTM),5.06985
Price/Sales (TTM),0.32257
Price/Book (MRQ),1.8545
Price/Cash Flow (TTM),4.22209
5yr Low,40.04
5yr High,123.97
5yr Avg Return,0.06321666666666666
EPS Growth 5yr,0.0028272
Revenue Growth 5yr,0.0564011
Dividend Growth 5yr,0.08120609999999999
Short Int Current Month,10788460.0
Short Int Prev Month,12627921.0
Short Int Pct of Float,0.022934
Days to Cover,2.7694
Float,470.4659
Shares Outstanding,472.6322
Institutions Holding Shares,1739.0
FCF Growth 5yr,0.7098959121231158
"Price/Earnings (TTM, GAAP)",5.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1124
Operating Profit Margin (TTM),0.0509
Net Profit Margin (TTM),0.06620000000000001
Annual Dividend Yield,0.035
Dividend Change %,0.005600000000000001
"Dividend Growth Rate, 3 Years",0.053
EPS Growth (MRQ),0.71
EPS Growth (TTM),19.9097
Revenue Growth (MRQ),-0.0746
Revenue Growth (TTM),0.7034999999999999
Return On Equity (TTM),0.4487
Return On Assets (TTM),0.1608
Return On Investment (TTM),0.2277
Revenue Per Employee (TTM),11593930.0
Total Debt/Total Capital (MRQ),0.3465
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-09-20 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
