,RKLB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,50.64,Valuation,
Price/Sales (TTM),15.34,4.74,Valuation,3.2362869198312234
Price/Book (MRQ),2.74,4.28,Valuation,0.6401869158878505
"PEG Ratio (TTM, GAAP)",,1.95,Valuation,
Gross Profit Margin (TTM),0.0227,0.19460000000000002,Profitability,0.11664953751284686
Operating Profit Margin (TTM),-1.1059999999999999,-0.5263,Profitability,2.1014630438913167
Net Profit Margin (TTM),-1.1548,-0.5391,Profitability,2.142088666295678
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.3762,-3.8235,Gowth rates,0.09839152608866221
EPS Growth (TTM),-2.3688,0.2595,Gowth rates,-9.128323699421964
Revenue Growth (MRQ),0.3629,0.0689,Gowth rates,5.267053701015965
Revenue Growth (TTM),1.3075,0.0147,Gowth rates,88.94557823129253
Return On Equity (TTM),-0.5744,0.1825,Effectiveness,-3.147397260273973
Return On Assets (TTM),-0.23440000000000003,0.047,Effectiveness,-4.987234042553192
Return On Investment (TTM),-0.2771,0.0521,Effectiveness,-5.318618042226488
Revenue Per Employee (TTM),170108.0,411752.0,Effectiveness,0.41313217665002233
Total Debt/Total Capital (MRQ),0.1412,0.5861,Financial strength,0.2409145197065347
Change in Debt/Total Capital Quarter over Quarter,-0.0069,-0.0001,Financial strength,69.0
Quick Ratio (MRQ),4.31,1.06,Financial strength,4.066037735849056
Interest Coverage (MRQ),-5.26,7.88,Financial strength,-0.6675126903553299
