,RKLB
% Above Low,0.16149999999999998
% Held by Institutions,0.5653
52-Wk Range,['3.53 - 16.97']
Annual Dividend $,
Annual Dividend %,
Ask,4.11
Ask Size,4300.0
B/A Ratio,0.8837209302325582
B/A Size,3800x4300
Beta,
Bid,4.1
Bid Size,3800.0
Day Change $,-0.08
Day Change %,-0.0191
Day High,4.28
Day Low,4.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.52
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),100.0
Last (time),12:51p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,4.18
Price,4.1
Short Interest,0.060700000000000004
Today's Open,4.17
Volume Past Day,(Below Average)
Price/Earnings (TTM),
Price/Sales (TTM),15.3419
Price/Book (MRQ),2.74414
Price/Cash Flow (TTM),
5yr Low,3.53
5yr High,21.34
5yr Avg Return,-0.14550000000000002
Short Int Current Month,21249096.0
Short Int Prev Month,19320875.0
Short Int Pct of Float,0.060681399999999996
Days to Cover,6.44301
Float,377.1907
Shares Outstanding,473.2572
Institutions Holding Shares,226.0
FCF Growth 5yr,0.519362663098026
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0227
Operating Profit Margin (TTM),-1.1059999999999999
Net Profit Margin (TTM),-1.1548
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3762
EPS Growth (TTM),-2.3688
Revenue Growth (MRQ),0.3629
Revenue Growth (TTM),1.3075
Return On Equity (TTM),-0.5744
Return On Assets (TTM),-0.23440000000000003
Return On Investment (TTM),-0.2771
Revenue Per Employee (TTM),170108.0
Total Debt/Total Capital (MRQ),0.1412
Change in Debt/Total Capital Quarter over Quarter,-0.0069
Quick Ratio (MRQ),4.31
Interest Coverage (MRQ),-5.26
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-23 00:00:00
cfra since,2022-07-07 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,
marketEdge opinion since,
