,PCVX
% Below High,0.062
% Held by Institutions,0.7304999999999999
52-Wk Range,['16.78 - 47.67']
Annual Dividend $,
Annual Dividend %,
Ask,44.73
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,44.59
Bid Size,200.0
Day Change $,0.7159
Day Change %,0.0163
Day High,47.67
Day Low,44.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.95
Ex-dividend Date,No dividend
Historical Volatility,0.775
Last (size),100.0
Last (time),10:21a ET 11/28/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,44.0
Price,44.72
Short Interest,0.0507
Today's Open,44.11
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.646766169154229
Growth 1yr High Est,0.7021276595744683
Growth 1yr Consensus Est,0.6744469143643487
Growth 2yr Low Est,0.3732320271753018
Growth 2yr High Est,0.1713763297872341
Growth 2yr Consensus Est,0.272304178481268
Growth 5yr Low Est,0.3732320271753018
Growth 5yr High Est,0.1713763297872341
Growth 5yr Consensus Est,0.272304178481268
Growth 5yr Actual/Est,0.07690099306954128
Growth 3yr Historic,-0.12030905077262695
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),7.41753
Price/Cash Flow (TTM),
5yr Low,15.51
5yr High,58.48
5yr Avg Return,0.3507333333333333
Short Int Current Month,3637756.0
Short Int Prev Month,4149864.0
Short Int Pct of Float,0.0506717
Days to Cover,3.74181
Float,72.19005
Shares Outstanding,78.9802
Institutions Holding Shares,188.0
FCF Growth 5yr,0.3683131212350945
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.17079999999999998
EPS Growth (TTM),-0.6484000000000001
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.5231
Return On Assets (TTM),-0.45420000000000005
Return On Investment (TTM),-0.5122
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
