,VERU
% Above Low,0.2488
% Held by Institutions,0.4003
52-Wk Range,['4.34 - 24.55']
Annual Dividend $,
Annual Dividend %,
Ask,5.42
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,-0.3
Bid,5.39
Bid Size,300.0
Closing Price,5.42
Day Change $,-0.19
Day Change %,-0.0339
Day High,5.8
Day Low,5.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,1.784
Last (size),2000.0
Last (time),3:59p ET 11/28/22
Market Cap,432.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.61
Short Interest,0.2553
Today's Open,5.49
Volume,1882429.0
Volume 10-day Avg,4368831.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-05 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-88.0
Growth 1yr High Est,-10.11111111111111
Growth 1yr Consensus Est,-49.05555555555556
Growth 2yr Low Est,-43.78735632183908
Growth 2yr High Est,-5.494579945799458
Growth 2yr Consensus Est,-24.640968133819268
Growth 5yr Low Est,-22.156178160919538
Growth 5yr High Est,-3.122289972899729
Growth 5yr Consensus Est,-12.639234066909635
Growth 5yr Actual/Est,-3.3096804511278197
Growth 3yr Historic,-0.7293233082706767
Price/Earnings (TTM),
Price/Sales (TTM),8.5786
Price/Book (MRQ),3.84638
Price/Cash Flow (TTM),
5yr Low,0.9
5yr High,24.57
5yr Avg Return,0.45803333333333335
EPS Growth 5yr,0.4923746
Revenue Growth 5yr,0.2258826
Dividend Growth 5yr,
Short Int Current Month,15487620.0
Short Int Prev Month,14688349.0
Short Int Pct of Float,0.2553392
Days to Cover,1.28278
Float,60.65508
Shares Outstanding,80.14674
Institutions Holding Shares,181.0
FCF Growth 5yr,0.36715955407915885
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8089000000000001
Operating Profit Margin (TTM),-0.7712000000000001
Net Profit Margin (TTM),-0.8976999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5648
EPS Growth (TTM),-41.992700000000006
Revenue Growth (MRQ),-0.263
Revenue Growth (TTM),-0.08630000000000002
Return On Equity (TTM),-0.3461
Return On Assets (TTM),-0.2762
Return On Investment (TTM),-0.31829999999999997
Revenue Per Employee (TTM),207985.0
Total Debt/Total Capital (MRQ),0.11109999999999999
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),4.34
Interest Coverage (MRQ),-71.77
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
theStreet since,2022-08-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
