,VERU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,62.45,Valuation,
Price/Sales (TTM),8.58,4.04,Valuation,2.123762376237624
Price/Book (MRQ),3.85,11.21,Valuation,0.343443354148082
"PEG Ratio (TTM, GAAP)",,2.11,Valuation,
Gross Profit Margin (TTM),0.8089000000000001,0.701,Profitability,1.153922967189729
Operating Profit Margin (TTM),-0.7712000000000001,0.13949999999999999,Profitability,-5.528315412186381
Net Profit Margin (TTM),-0.8976999999999999,0.0981,Profitability,-9.150866462793067
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.5648,-0.23070000000000002,Gowth rates,2.4482011270047677
EPS Growth (TTM),-41.992700000000006,-0.2964,Gowth rates,141.6757759784076
Revenue Growth (MRQ),-0.263,-0.0493,Gowth rates,5.334685598377282
Revenue Growth (TTM),-0.08630000000000002,0.046200000000000005,Gowth rates,-1.867965367965368
Return On Equity (TTM),-0.3461,0.289,Effectiveness,-1.1975778546712805
Return On Assets (TTM),-0.2762,0.0375,Effectiveness,-7.365333333333334
Return On Investment (TTM),-0.31829999999999997,0.1008,Effectiveness,-3.157738095238095
Revenue Per Employee (TTM),207985.0,706730.0,Effectiveness,0.2942920209981181
Total Debt/Total Capital (MRQ),0.11109999999999999,0.49520000000000003,Financial strength,0.2243537964458804
Change in Debt/Total Capital Quarter over Quarter,0.004,0.0046,Financial strength,0.8695652173913044
Quick Ratio (MRQ),4.34,1.34,Financial strength,3.2388059701492535
Interest Coverage (MRQ),-71.77,14.94,Financial strength,-4.803882195448461
