,2017,2018,2019,2020,2021,2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Report,Q3 2022
high,49.13,59.4,68.0,43.07,66.71,47.42,,,,,,
low,38.67,38.17,33.12,17.46,38.9,23.85,,,,,,
change,0.1862,0.12119999999999999,-0.25620000000000004,0.030600000000000002,0.0802,-0.1112,,,,,,
Date,,,,,,,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,2022-10-29 00:00:00,Balance Sheet,
Cash and Short Term Invs,,,,,,,804.0,551.0,386.0,351.0,Balance Sheet,
Total Inventory,,,,,,,1266.0,1401.0,1644.0,1685.0,Balance Sheet,
Restricted Cash - Current,,,,,,,8.0,8.0,7.0,,Balance Sheet,
Other Current Assets,,,,,,,285.0,273.0,278.0,302.0,Balance Sheet,
"Other Curr. Assets, Total",,,,,,,293.0,281.0,285.0,302.0,Balance Sheet,
Total Current Assets,,,,,,,2363.0,2233.0,2315.0,2338.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,3533.0,3465.0,3425.0,3346.0,Balance Sheet,
"Goodwill, Net",,,,,,,797.0,783.0,773.0,764.0,Balance Sheet,
Intangibles - Gross,,,,,,,578.0,561.0,550.0,,Balance Sheet,
Accum. Intangible Amort.,,,,,,,-124.0,-120.0,-118.0,,Balance Sheet,
Intangibles - Net,,,,,,,454.0,441.0,432.0,424.0,Balance Sheet,
Long Term Investments,,,,,,,781.0,759.0,736.0,722.0,Balance Sheet,
Def. Inc. Tax - LT Asset,,,,,,,86.0,79.0,74.0,65.0,Balance Sheet,
Restricted Cash - LT,,,,,,,38.0,36.0,38.0,,Balance Sheet,
Other Long Term Assets,,,,,,,83.0,82.0,75.0,103.0,Balance Sheet,
Total Assets,,,,,,,8135.0,7878.0,7868.0,7762.0,Balance Sheet,
Accounts Payable,,,,,,,596.0,565.0,596.0,522.0,Balance Sheet,
Accrued Expenses,,,,,,,1133.0,985.0,983.0,994.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Curr. Port. LT Dbt/Cap Ls.,,,,,,,6.0,6.0,6.0,6.0,Balance Sheet,
Total Current Liabilities,,,,,,,1735.0,1556.0,1585.0,1522.0,Balance Sheet,
Long Term Debt,,,,,,,394.0,450.0,449.0,448.0,Balance Sheet,
Capital Lease Obligations,,,,,,,57.0,,,,Balance Sheet,
Total Long Term Debt,,,,,,,451.0,450.0,449.0,448.0,Balance Sheet,
Total Debt,,,,,,,457.0,456.0,455.0,454.0,Balance Sheet,
Minority Interest,,,,,,,4.0,3.0,7.0,,Balance Sheet,
"Other Liabilities, Total",,,,,,,2706.0,2657.0,2617.0,2533.0,Balance Sheet,
Total Liabilities,,,,,,,4896.0,4666.0,4658.0,4503.0,Balance Sheet,
Common Stock,,,,,,,770.0,779.0,788.0,,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,2900.0,2995.0,3051.0,,Balance Sheet,
Treasury Stock - Common,,,,,,,-88.0,-178.0,-213.0,,Balance Sheet,
Cum. Trans. Adjustment,,,,,,,-107.0,-151.0,-182.0,,Balance Sheet,
Other Equity,,,,,,,,,,3259.0,Balance Sheet,
Min. Pension Lblty Adj.,,,,,,,-236.0,-234.0,-232.0,,Balance Sheet,
Other Comprehensive Income,,,,,,,0.0,1.0,-2.0,,Balance Sheet,
"Other Equity, Total",,,,,,,-343.0,-384.0,-416.0,3259.0,Balance Sheet,
Total Equity,,,,,,,3239.0,3212.0,3210.0,3259.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,8135.0,7878.0,7868.0,7762.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,97.0,95.0,93.0,93.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,2.0,5.0,6.0,6.0,Balance Sheet,
Date,,,,,,,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,2022-10-29 00:00:00,Income Statement,
Total Revenue,,,,,,,2341.0,2175.0,2065.0,2173.0,Income Statement,
"Cost of Revenue, Total",,,,,,,1568.0,1435.0,1411.0,1477.0,Income Statement,
Selling/Gen/Admin Expense,,,,,,,519.0,456.0,443.0,467.0,Income Statement,
Labor & Related Expense,,,,,,,6.0,7.0,9.0,,Income Statement,
"Sell/Gen/AdminExpenses,Tot",,,,,,,525.0,463.0,452.0,467.0,Income Statement,
Depreciation/Amortization,,,,,,,55.0,54.0,51.0,52.0,Income Statement,
Restructuring Charge,,,,,,,2.0,,,2.0,Income Statement,
Impair-Assets Held for Use,,,,,,,42.0,3.0,2.0,,Income Statement,
Impair-Assets Held for Sale,,,,,,,10.0,,,,Income Statement,
Other Unusual Expnse (In),,,,,,,18.0,3.0,-8.0,18.0,Income Statement,
Unusual Expense (Income),,,,,,,72.0,6.0,-6.0,20.0,Income Statement,
Total Operating Expense,,,,,,,2220.0,1958.0,1908.0,2016.0,Income Statement,
Total Operating Income,,,,,,,121.0,217.0,157.0,157.0,Income Statement,
"Inter Expse,Net Non-Operat",,,,,,,-7.0,-6.0,-6.0,,Income Statement,
"Inter Income, Non-Operating",,,,,,,1.0,1.0,1.0,,Income Statement,
"Invest Income, Non-Operat",,,,,,,0.0,,,,Income Statement,
"Inter/Invest Inc, Non-Oper",,,,,,,1.0,1.0,1.0,,Income Statement,
"Inter Inc(Exp),Net Non-Oper",,,,,,,,,,-3.0,Income Statement,
"Other, Net",,,,,,,32.0,-22.0,-9.0,-11.0,Income Statement,
Income Before Tax,,,,,,,147.0,190.0,143.0,143.0,Income Statement,
Income Tax - Total,,,,,,,45.0,58.0,49.0,47.0,Income Statement,
Income After Tax,,,,,,,102.0,132.0,94.0,96.0,Income Statement,
Minority Interest,,,,,,,1.0,1.0,0.0,,Income Statement,
Net Inc Before Extra Items,,,,,,,103.0,133.0,94.0,96.0,Income Statement,
Total Net Income,,,,,,,103.0,133.0,94.0,96.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,,103.0,133.0,94.0,96.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,,103.0,133.0,94.0,96.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,,100.0,96.0,94.0,95.0,Income Statement,
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.04,1.38,1.0,1.01,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.04,1.38,1.0,1.01,Income Statement,
Diluted Weighted Average Shares,,,,,,,101.0,97.0,95.0,95.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,,1.02,1.37,0.99,1.01,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,,1.02,1.37,0.99,1.01,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,,0.3,0.3,0.4,0.4,Income Statement,
Gross Divid - Common Stock,,,,,,,29.0,38.0,38.0,,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,,,,7.0,6.0,6.0,,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,52.0,51.0,49.0,52.0,Income Statement,
Total Special Items,,,,,,,72.0,6.0,-6.0,20.0,Income Statement,
Normalzd Income Before Tax,,,,,,,219.0,196.0,137.0,163.0,Income Statement,
Efct/SpecItemsIncTxs (STEC),,,,,,,22.0,2.0,-2.0,7.0,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,,67.0,60.0,47.0,54.0,Income Statement,
Normalized Income After Tax,,,,,,,152.0,136.0,90.0,109.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,,153.0,137.0,90.0,109.0,Income Statement,
Basic Normalized EPS,,,,,,,1.54,1.43,0.96,1.16,Income Statement,
Diluted Normalized EPS,,,,,,,1.52,1.41,0.95,1.16,Income Statement,
Date,,,,,,,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,,Cash Flow,2021-10-30 00:00:00
Net Income,,,,,,,892.0,132.0,226.0,,Cash Flow,790.0
Depreciation/Depletion,,,,,,,197.0,54.0,105.0,,Cash Flow,142.0
Deferred Taxes,,,,,,,74.0,3.0,8.0,,Cash Flow,57.0
Unusual Items,,,,,,,-219.0,3.0,-13.0,,Cash Flow,-252.0
Other Non-Cash Items,,,,,,,29.0,32.0,54.0,,Cash Flow,23.0
Non-Cash Items,,,,,,,-190.0,35.0,41.0,,Cash Flow,-229.0
