,FL
% Below High,0.2186
% Held by Institutions,0.927
52-Wk Range,['23.85 - 49.81']
Annual Dividend $,1.6
Annual Dividend %,0.041100000000000005
Ask,42.0
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.2
Bid,38.5
Bid Size,800.0
Closing Price,38.92
Day Change $,1.39
Day Change %,0.037000000000000005
Day High,38.92
Day Low,37.64
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.611
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.85
Prev Close,37.53
Short Interest,0.1027
Today's Open,37.64
Volume,1721554.0
Volume 10-day Avg,4466946.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.3786816269284713
Growth 1yr High Est,-0.4161331626120359
Growth 1yr Consensus Est,-0.3974073947702536
Growth 2yr Low Est,-0.2706049218163801
Growth 2yr High Est,-0.11815430060426357
Growth 2yr Consensus Est,-0.19437961121032182
Growth 5yr Low Est,-0.013173024582511572
Growth 5yr High Est,0.08142284969786817
Growth 5yr Consensus Est,0.0341249125576783
Growth 5yr Actual/Est,0.21285324765455055
Growth 3yr Historic,0.3337760677961207
Price/Earnings (TTM),8.85481
Price/Sales (TTM),0.41482
Price/Book (MRQ),1.11424
Price/Cash Flow (TTM),5.70959
5yr Low,17.46
5yr High,68.0
5yr Avg Return,0.008466666666666673
EPS Growth 5yr,0.11848
Revenue Growth 5yr,0.0289701
Dividend Growth 5yr,-0.045882
Short Int Current Month,9383688.0
Short Int Prev Month,8860618.0
Short Int Pct of Float,0.1026937
Days to Cover,3.98638
Float,91.66207
Shares Outstanding,93.30165
Institutions Holding Shares,405.0
FCF Growth 5yr,-0.6072290492075219
"Price/Earnings (TTM, GAAP)",8.85
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3271
Operating Profit Margin (TTM),0.0745
Net Profit Margin (TTM),0.0484
Annual Dividend Yield,0.041100000000000005
Dividend Change %,-0.086
"Dividend Growth Rate, 3 Years",-0.1418
EPS Growth (MRQ),0.0256
EPS Growth (TTM),-0.49450000000000005
Revenue Growth (MRQ),0.052300000000000006
Revenue Growth (TTM),-0.0059
Return On Equity (TTM),0.1292
Return On Assets (TTM),0.053099999999999994
Return On Investment (TTM),0.0668
Revenue Per Employee (TTM),528783.0
Total Debt/Total Capital (MRQ),0.1223
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),59.0
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-22 00:00:00
researchTeam since,2021-07-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-19 00:00:00
ford since,2022-03-04 00:00:00
marketEdge opinion since,
