,PNTG
% Above Low,0.1371
% Held by Institutions,0.8725
52-Wk Range,['8.68 - 24.23']
Annual Dividend $,
Annual Dividend %,
Ask,9.87
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,9.85
Bid Size,500.0
Day Change $,-0.06
Day Change %,-0.006
Day High,10.02
Day Low,9.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.725
Last (size),12.0
Last (time),11:10a ET 11/28/22
Market Cap,292.9M
"P/E Ratio (TTM, GAAP)",398.96
Prev Close,9.93
Price,9.87
Short Interest,0.0225
Today's Open,9.92
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.2597402597402598
Growth 1yr High Est,-0.27500000000000013
Growth 1yr Consensus Est,-0.26737012987013
Growth 2yr Low Est,-0.05969469127363858
Growth 2yr High Est,0.06077586206896557
Growth 2yr Consensus Est,0.0005405853976634956
Growth 5yr Low Est,-0.039796460849092385
Growth 5yr High Est,0.04051724137931038
Growth 5yr Consensus Est,0.000360390265108997
Growth 5yr Actual/Est,0.09926843204687669
Growth 3yr Historic,-0.03507558015754736
Price/Earnings (TTM),398.9554
Price/Sales (TTM),0.64015
Price/Book (MRQ),2.53053
Price/Cash Flow (TTM),48.17537
5yr Low,6.15
5yr High,69.56
5yr Avg Return,0.9854250000000002
EPS Growth 5yr,-0.2152523
Revenue Growth 5yr,0.1514581
Dividend Growth 5yr,
Short Int Current Month,612339.0
Short Int Prev Month,649800.0
Short Int Pct of Float,0.0224788
Days to Cover,4.0395
Float,27.11868
Shares Outstanding,29.67661
Institutions Holding Shares,189.0
FCF Growth 5yr,-1.0458407673273837
"Price/Earnings (TTM, GAAP)",398.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2005
Operating Profit Margin (TTM),0.009000000000000001
Net Profit Margin (TTM),0.0026000000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.7116000000000002
EPS Growth (TTM),-0.9134000000000001
Revenue Growth (MRQ),0.0175
Revenue Growth (TTM),0.056100000000000004
Return On Equity (TTM),0.009000000000000001
Return On Assets (TTM),0.0023
Return On Investment (TTM),0.0027
Revenue Per Employee (TTM),71470.0
Total Debt/Total Capital (MRQ),0.31579999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0037
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.39
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-04-06 00:00:00
theStreet since,2021-04-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
