,PNTG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",398.96,29.13,Valuation,13.6958462066598
Price/Sales (TTM),0.64,1.32,Valuation,0.48484848484848486
Price/Book (MRQ),2.53,4.31,Valuation,0.5870069605568445
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.2005,0.1318,Profitability,1.5212443095599393
Operating Profit Margin (TTM),0.009000000000000001,0.0458,Profitability,0.19650655021834063
Net Profit Margin (TTM),0.0026000000000000003,0.0242,Profitability,0.10743801652892564
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),2.7116000000000002,-0.1478,Gowth rates,-18.34641407307172
EPS Growth (TTM),-0.9134000000000001,-1.101,Gowth rates,0.82960944595822
Revenue Growth (MRQ),0.0175,0.0931,Gowth rates,0.1879699248120301
Revenue Growth (TTM),0.056100000000000004,0.1191,Gowth rates,0.4710327455919396
Return On Equity (TTM),0.009000000000000001,7.2022,Effectiveness,0.0012496181722251535
Return On Assets (TTM),0.0023,0.0403,Effectiveness,0.05707196029776675
Return On Investment (TTM),0.0027,0.016,Effectiveness,0.16875
Revenue Per Employee (TTM),71470.0,1375304.0,Effectiveness,0.05196669245490452
Total Debt/Total Capital (MRQ),0.31579999999999997,0.4855,Financial strength,0.650463439752832
Change in Debt/Total Capital Quarter over Quarter,0.0037,0.0015,Financial strength,2.466666666666667
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),8.39,9.55,Financial strength,0.8785340314136125
