,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.99,66.62,69.56,24.23,,,,,
low,6.15,9.4,17.52,8.68,,,,,
change,4.3772,0.7583,-0.6113000000000001,-0.5825,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,5.0,4.0,3.0,3.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,55.0,58.0,54.0,52.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,54.0,57.0,53.0,52.0,Balance Sheet
Prepaid Expenses,,,,,17.0,21.0,18.0,12.0,Balance Sheet
Total Current Assets,,,,,76.0,82.0,75.0,67.0,Balance Sheet
Buildings,,,,,12.0,13.0,17.0,18.0,Balance Sheet
Land/Improvements,,,,,,,0.0,0.0,Balance Sheet
Machinery/Equipment,,,,,22.0,24.0,25.0,27.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,302.0,274.0,259.0,264.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,336.0,310.0,301.0,309.0,Balance Sheet
Accumulated Depreciation,,,,,-18.0,-20.0,-21.0,-22.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,318.0,290.0,280.0,287.0,Balance Sheet
"Goodwill, Net",,,,,74.0,74.0,75.0,79.0,Balance Sheet
Intangibles - Net,,,,,54.0,54.0,54.0,58.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,4.0,2.0,3.0,3.0,Balance Sheet
Restricted Cash - LT,,,,,5.0,5.0,10.0,11.0,Balance Sheet
Other Long Term Assets,,,,,0.0,,,,Balance Sheet
Total Assets,,,,,530.0,507.0,496.0,505.0,Balance Sheet
Accounts Payable,,,,,11.0,11.0,13.0,13.0,Balance Sheet
Accrued Expenses,,,,,41.0,40.0,44.0,44.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,8.0,3.0,2.0,2.0,Balance Sheet
Other Payables,,,,,3.0,4.0,3.0,3.0,Balance Sheet
Other Current Liabilities,,,,,10.0,11.0,14.0,12.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,20.0,18.0,18.0,16.0,Balance Sheet
Total Current Liabilities,,,,,72.0,69.0,75.0,73.0,Balance Sheet
Total Long Term Debt,,,,,51.0,57.0,53.0,56.0,Balance Sheet
Total Debt,,,,,51.0,57.0,53.0,56.0,Balance Sheet
Minority Interest,,,,,4.0,4.0,4.0,4.0,Balance Sheet
"Other Liabilities, Total",,,,,293.0,264.0,250.0,256.0,Balance Sheet
Total Liabilities,,,,,420.0,394.0,383.0,388.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,96.0,98.0,101.0,99.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,15.0,16.0,13.0,18.0,Balance Sheet
Treasury Stock - Common,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,110.0,114.0,114.0,116.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,530.0,507.0,496.0,505.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,28.0,29.0,29.0,30.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
