,RE
% Below High,0.0204
% Held by Institutions,0.9503
52-Wk Range,['244.58 - 337.50']
Annual Dividend $,6.6
Annual Dividend %,0.0197
Ask,330.77
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,330.27
Bid Size,100.0
Day Change $,-3.8
Day Change %,-0.011399999999999999
Day High,333.63
Day Low,330.0
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",13.4
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.29100000000000004
Last (size),100.0
Last (time),12:27p ET 11/28/22
Market Cap,12.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.96
Prev Close,334.42
Price,330.62
Short Interest,0.013000000000000001
Today's Open,332.67
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.17020510975170922
Growth 1yr High Est,-0.15280135823429541
Growth 1yr Consensus Est,-0.16150323399300232
Growth 2yr Low Est,0.23449848588737177
Growth 2yr High Est,0.34844902028164987
Growth 2yr Consensus Est,0.29147375308451084
Growth 5yr Low Est,0.6879302866305214
Growth 5yr High Est,0.7279856958231515
Growth 5yr Consensus Est,0.7079579912268363
Growth 5yr Actual/Est,0.7045165391670922
Growth 3yr Historic,0.5582390682201357
Price/Earnings (TTM),24.96443
Price/Sales (TTM),1.05744
Price/Book (MRQ),1.70948
Price/Cash Flow (TTM),
5yr Low,157.32
5yr High,337.5
5yr Avg Return,0.07708333333333334
EPS Growth 5yr,0.0789315
Revenue Growth 5yr,0.15289450000000002
Dividend Growth 5yr,0.0569605
Short Int Current Month,501581.0
Short Int Prev Month,551707.0
Short Int Pct of Float,0.0130121
Days to Cover,1.28177
Float,38.54855
Shares Outstanding,39.16503
Institutions Holding Shares,768.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",24.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.08710000000000001
Net Profit Margin (TTM),0.043
Annual Dividend Yield,0.0197
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.053700000000000005
EPS Growth (MRQ),-3.6418
EPS Growth (TTM),-0.4682
Revenue Growth (MRQ),0.0613
Revenue Growth (TTM),0.0764
Return On Equity (TTM),0.0591
Return On Assets (TTM),0.014199999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),6361635.0
Total Debt/Total Capital (MRQ),0.2873
Change in Debt/Total Capital Quarter over Quarter,0.0055000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.49
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-16 00:00:00
theStreet since,2020-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-08-08 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
