,DOMO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.6,9.39,Valuation,0.1703940362087327
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7487,0.7206,Profitability,1.0389952817096864
Operating Profit Margin (TTM),-0.38310000000000005,0.2172,Profitability,-1.7638121546961327
Net Profit Margin (TTM),-0.4343,0.1553,Profitability,-2.7965228589826143
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.1317,-0.0752,Gowth rates,-1.7513297872340425
EPS Growth (TTM),-0.39420000000000005,-0.2824,Gowth rates,1.3958923512747878
Revenue Growth (MRQ),0.0143,0.15560000000000002,Gowth rates,0.09190231362467866
Revenue Growth (TTM),0.2215,0.1906,Gowth rates,1.1621196222455406
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.5747,0.10740000000000001,Effectiveness,-5.351024208566107
Return On Investment (TTM),-10.137500000000001,0.1387,Effectiveness,-73.08940158615718
Revenue Per Employee (TTM),310871.0,667721.0,Effectiveness,0.4655702007275494
Total Debt/Total Capital (MRQ),,0.39659999999999995,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0004,Financial strength,-1.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-7.12,0.28,Financial strength,-25.428571428571427
