,DOMO
% Above Low,0.0675
% Held by Institutions,0.7904000000000001
52-Wk Range,['12.44 - 75.44']
Annual Dividend $,
Annual Dividend %,
Ask,13.62
Ask Size,700.0
B/A Ratio,2.0
B/A Size,1400x700
Beta,2.3
Bid,13.28
Bid Size,1400.0
Closing Price,13.28
Day Change $,-0.69
Day Change %,-0.049400000000000006
Day High,13.86
Day Low,13.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.74
Ex-dividend Date,No dividend
Historical Volatility,0.908
Last (size),4.0
Last (time),12:59p ET 11/25/22
Market Cap,455.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.97
Short Interest,0.0326
Today's Open,13.86
Volume,159871.0
Volume 10-day Avg,406308.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.2558139534883721
Growth 1yr High Est,-0.26984126984126977
Growth 1yr Consensus Est,-0.26282761166482094
Growth 2yr Low Est,-0.04457364341085268
Growth 2yr High Est,-0.4066597653554175
Growth 2yr Consensus Est,-0.22561670438313508
Growth 5yr Low Est,-0.1891682650043954
Growth 5yr High Est,-0.37129863267770874
Growth 5yr Consensus Est,-0.28023344884105206
Growth 5yr Actual/Est,-0.31625970121813907
Growth 3yr Historic,-0.1964970170937529
Price/Earnings (TTM),
Price/Sales (TTM),1.59628
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,7.62
5yr High,98.35
5yr Avg Return,0.1815
EPS Growth 5yr,
Revenue Growth 5yr,0.2818374
Dividend Growth 5yr,
Short Int Current Month,977368.0
Short Int Prev Month,1271463.0
Short Int Pct of Float,0.0325504
Days to Cover,2.12352
Float,29.91442
Shares Outstanding,34.2659
Institutions Holding Shares,215.0
FCF Growth 5yr,0.8748515277951571
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7487
Operating Profit Margin (TTM),-0.38310000000000005
Net Profit Margin (TTM),-0.4343
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1317
EPS Growth (TTM),-0.39420000000000005
Revenue Growth (MRQ),0.0143
Revenue Growth (TTM),0.2215
Return On Equity (TTM),
Return On Assets (TTM),-0.5747
Return On Investment (TTM),-10.137500000000001
Revenue Per Employee (TTM),310871.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-7.12
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-06-18 00:00:00
ford since,2022-03-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-10-17 00:00:00
