,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,28.86,47.08,72.07,98.35,57.41,,,,,
low,13.28,14.8,7.62,44.54,12.44,,,,,
change,-0.1752,0.12890000000000001,1.9066,-0.21989999999999998,-0.7329000000000001,,,,,
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash,,,,,,43197.0,42500.0,42500.0,38759.0,Balance Sheet
Cash & Equivalents,,,,,,25878.0,25878.0,26312.0,25921.0,Balance Sheet
Short Term Investments,,,,,,15170.0,15183.0,15183.0,15214.0,Balance Sheet
Cash and Short Term Invs,,,,,,84245.0,83561.0,83995.0,79894.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,42355.0,67942.0,50427.0,51139.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-3460.0,-3793.0,-3793.0,-1991.0,Balance Sheet
"Total Receivables, Net",,,,,,38895.0,64149.0,46634.0,49148.0,Balance Sheet
Prepaid Expenses,,,,,,7314.0,9975.0,15487.0,9205.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,13795.0,15417.0,15065.0,15099.0,Balance Sheet
Total Current Assets,,,,,,144249.0,173102.0,161181.0,153346.0,Balance Sheet
Buildings,,,,,,1864.0,2129.0,1675.0,1607.0,Balance Sheet
Machinery/Equipment,,,,,,40229.0,41514.0,43791.0,45637.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,18598.0,17156.0,16778.0,16853.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,60691.0,60799.0,62244.0,64097.0,Balance Sheet
Accumulated Depreciation,,,,,,-25955.0,-26823.0,-27997.0,-29131.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,34736.0,33976.0,34247.0,34966.0,Balance Sheet
"Goodwill, Net",,,,,,9478.0,9478.0,9478.0,9478.0,Balance Sheet
Intangibles - Gross,,,,,,5011.0,3408.0,3408.0,3408.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-2116.0,-533.0,-553.0,-573.0,Balance Sheet
Intangibles - Net,,,,,,2895.0,2875.0,2855.0,2835.0,Balance Sheet
Other Long Term Assets,,,,,,1301.0,1981.0,2064.0,1688.0,Balance Sheet
Total Assets,,,,,,211133.0,244589.0,231872.0,224006.0,Balance Sheet
Accounts Payable,,,,,,12021.0,4770.0,12764.0,17556.0,Balance Sheet
Accrued Expenses,,,,,,48020.0,63415.0,49135.0,47582.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,130385.0,168335.0,167091.0,163454.0,Balance Sheet
Total Current Liabilities,,,,,,190426.0,236520.0,228990.0,228592.0,Balance Sheet
Total Long Term Debt,,,,,,102852.0,103988.0,105089.0,106251.0,Balance Sheet
Total Debt,,,,,,102852.0,103988.0,105089.0,106251.0,Balance Sheet
"Other Liabilities, Total",,,,,,30412.0,30059.0,29747.0,30109.0,Balance Sheet
Total Liabilities,,,,,,323690.0,370567.0,363826.0,364952.0,Balance Sheet
Common Stock,,,,,,32.0,33.0,33.0,34.0,Balance Sheet
Additional Paid-In Capital,,,,,,1077993.0,1098084.0,1125699.0,1146231.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-1191229.0,-1224483.0,-1257371.0,-1286510.0,Balance Sheet
"Other Equity, Total",,,,,,647.0,388.0,-315.0,-701.0,Balance Sheet
Total Equity,,,,,,-112557.0,-125978.0,-131954.0,-140946.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,211133.0,244589.0,231872.0,224006.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,29346.0,29730.0,30460.0,30998.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,3264.0,3264.0,3264.0,3264.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,32610.0,32994.0,33724.0,34262.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,,,65081.0,69993.0,74464.0,75531.0,Income Statement
"Cost of Revenue, Total",,,,,,17144.0,18526.0,17661.0,18313.0,Income Statement
Selling/Gen/Admin Expense,,,,,,35652.0,45263.0,41047.0,40625.0,Income Statement
Labor & Related Expense,,,,,,11261.0,12608.0,16880.0,12580.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,46913.0,57871.0,57927.0,53205.0,Income Statement
Research & Development,,,,,,21984.0,23516.0,23191.0,25334.0,Income Statement
Depreciation/Amortization,,,,,,20.0,20.0,20.0,20.0,Income Statement
"Other Operat Expse, Total",,,,,,4000.0,,4300.0,4300.0,Income Statement
Total Operating Expense,,,,,,90061.0,99933.0,103099.0,101172.0,Income Statement
Total Operating Income,,,,,,-24980.0,-29940.0,-28635.0,-25641.0,Income Statement
"Inter Expse, Non-Operating",,,,,,-4100.0,-4100.0,-4100.0,-4300.0,Income Statement
"Inter Capital, Non-Operat",,,,,,700.0,700.0,700.0,700.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-3400.0,-3400.0,-3400.0,-3600.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-71.0,-464.0,-665.0,314.0,Income Statement
"Other, Net",,,,,,-71.0,-464.0,-665.0,314.0,Income Statement
Income Before Tax,,,,,,-28451.0,-33804.0,-32700.0,-28927.0,Income Statement
Income Tax - Total,,,,,,62.0,-550.0,188.0,212.0,Income Statement
Income After Tax,,,,,,-28513.0,-33254.0,-32888.0,-29139.0,Income Statement
Net Inc Before Extra Items,,,,,,-28513.0,-33254.0,-32888.0,-29139.0,Income Statement
Total Net Income,,,,,,-28513.0,-33254.0,-32888.0,-29139.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-28513.0,-33254.0,-32888.0,-29139.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-28513.0,-33254.0,-32888.0,-29139.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,32363.0,32810.0,33295.0,33973.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.88,-1.01,-0.99,-0.86,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.88,-1.01,-0.99,-0.86,Income Statement
Diluted Weighted Average Shares,,,,,,32363.0,32810.0,33295.0,33973.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.88,-1.01,-0.99,-0.86,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.88,-1.01,-0.99,-0.86,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,3400.0,3400.0,3400.0,3600.0,Income Statement
"Interest Capitalized, Suppl",,,,,,-700.0,-700.0,-700.0,-700.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,1200.0,1700.0,1600.0,1200.0,Income Statement
Normalzd Income Before Tax,,,,,,-28451.0,-33804.0,-32700.0,-28927.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,62.0,-550.0,188.0,212.0,Income Statement
Normalized Income After Tax,,,,,,-28513.0,-33254.0,-32888.0,-29139.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-28513.0,-33254.0,-32888.0,-29139.0,Income Statement
Basic Normalized EPS,,,,,,-0.88,-1.01,-0.99,-0.86,Income Statement
Diluted Normalized EPS,,,,,,-0.88,-1.01,-0.99,-0.86,Income Statement
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,,,-68857.0,-102111.0,-32888.0,-62027.0,Cash Flow
Depreciation/Depletion,,,,,,3789.0,5363.0,1607.0,2820.0,Cash Flow
Non-Cash Items,,,,,,58833.0,84818.0,31694.0,58502.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,481.0,625.0,44.0,32.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,5111.0,7142.0,1872.0,3852.0,Cash Flow
Accounts Receivable,,,,,,9377.0,-15877.0,17515.0,15001.0,Cash Flow
Prepaid Expenses,,,,,,4949.0,1545.0,-5803.0,781.0,Cash Flow
Other Assets,,,,,,-11719.0,-22258.0,-3203.0,-7282.0,Cash Flow
Accounts Payable,,,,,,10965.0,3755.0,8085.0,12907.0,Cash Flow
Accrued Expenses,,,,,,-8352.0,6641.0,-14688.0,-17538.0,Cash Flow
Changes in Working Capital,,,,,,5705.0,12309.0,368.0,-872.0,Cash Flow
Total Cash from Operations,,,,,,-530.0,379.0,781.0,-1577.0,Cash Flow
Purchase of Fixed Assets,,,,,,-4965.0,-6517.0,-1937.0,-3416.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,0.0,0.0,,,Cash Flow
Capital Expenditures,,,,,,-4965.0,-6517.0,-1937.0,-3416.0,Cash Flow
Sale/Maturity of Investment,,,,,,0.0,0.0,,,Cash Flow
Purchase of Investments,,,,,,0.0,0.0,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,0.0,0.0,,,Cash Flow
Total Cash from Investing,,,,,,-4965.0,-6517.0,-1937.0,-3416.0,Cash Flow
Sale/Issuance of Common,,,,,,4133.0,4133.0,1563.0,1563.0,Cash Flow
Repurch/Retirement Common,,,,,,-8858.0,-10315.0,0.0,0.0,Cash Flow
"Common Stock, Net",,,,,,-4725.0,-6182.0,1563.0,1563.0,Cash Flow
Options Exercised,,,,,,3908.0,5621.0,724.0,805.0,Cash Flow
Total Cash From Financing,,,,,,-817.0,-561.0,2287.0,2368.0,Cash Flow
Foreign Exchange Effects,,,,,,-237.0,-534.0,-697.0,-1042.0,Cash Flow
Net Change in Cash,,,,,,-6549.0,-7233.0,434.0,-3667.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,90794.0,90794.0,83561.0,83561.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,84245.0,83561.0,83995.0,79894.0,Cash Flow
"Depreciation, Supplemental",,,,,,3789.0,5363.0,1607.0,2820.0,Cash Flow
