,UBSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.36,11.43,Valuation,1.431321084864392
Price/Sales (TTM),5.77,3.3,Valuation,1.7484848484848485
Price/Book (MRQ),1.31,1.46,Valuation,0.8972602739726028
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.4404,0.34240000000000004,Profitability,1.2862149532710279
Net Profit Margin (TTM),0.3518,0.2812,Profitability,1.2510668563300142
Annual Dividend Yield,0.0334,0.028700000000000003,Dividend,1.1637630662020904
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0097,0.0734,Dividend,0.1321525885558583
EPS Growth (MRQ),0.07540000000000001,-0.0335,Gowth rates,-2.2507462686567163
EPS Growth (TTM),-0.1201,-0.09960000000000001,Gowth rates,1.2058232931726907
Revenue Growth (MRQ),0.1577,0.5429,Gowth rates,0.2904770675999263
Revenue Growth (TTM),0.09970000000000001,0.2466,Gowth rates,0.4042984590429846
Return On Equity (TTM),0.0797,0.1135,Effectiveness,0.702202643171806
Return On Assets (TTM),0.0125,0.0099,Effectiveness,1.2626262626262625
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0009,Financial strength,0.11111111111111112
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
