,UBSI
% Below High,0.046
% Held by Institutions,0.7095999999999999
52-Wk Range,['33.11 - 44.15']
Annual Dividend $,1.44
Annual Dividend %,0.0334
Ask,42.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,41.82
Bid Size,100.0
Closing Price,42.12
Day Change $,-0.94
Day Change %,-0.0218
Day High,42.95
Day Low,41.93
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.63
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.282
Last (size),1100.0
Last (time),3:59p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.36
Prev Close,43.06
Short Interest,0.028900000000000002
Today's Open,42.87
Volume,463032.0
Volume 10-day Avg,483944.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.032727272727272716
Growth 1yr High Est,-0.010273972602739656
Growth 1yr Consensus Est,0.01122665006226653
Growth 2yr Low Est,0.026927016645326485
Growth 2yr High Est,0.02254467459828413
Growth 2yr Consensus Est,0.024735845621805308
Growth 5yr Low Est,0.03520263875744589
Growth 5yr High Est,0.046428587299142066
Growth 5yr Consensus Est,0.04081561302829398
Growth 5yr Actual/Est,0.042330154612047366
Growth 3yr Historic,0.030085784313725494
Price/Earnings (TTM),16.35633
Price/Sales (TTM),5.76781
Price/Book (MRQ),1.30566
Price/Cash Flow (TTM),
5yr Low,19.67
5yr High,44.15
5yr Avg Return,0.027516666666666665
EPS Growth 5yr,0.0736271
Revenue Growth 5yr,0.1107176
Dividend Growth 5yr,0.011837599999999998
Short Int Current Month,3806052.0
Short Int Prev Month,5020572.0
Short Int Pct of Float,0.028876699999999998
Days to Cover,5.95406
Float,131.8347
Shares Outstanding,134.659
Institutions Holding Shares,402.0
FCF Growth 5yr,0.15454082459430055
"Price/Earnings (TTM, GAAP)",16.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4404
Net Profit Margin (TTM),0.3518
Annual Dividend Yield,0.0334
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0097
EPS Growth (MRQ),0.07540000000000001
EPS Growth (TTM),-0.1201
Revenue Growth (MRQ),0.1577
Revenue Growth (TTM),0.09970000000000001
Return On Equity (TTM),0.0797
Return On Assets (TTM),0.0125
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2020-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
