,FFBC
% Below High,0.0313
% Held by Institutions,0.745
52-Wk Range,['18.75 - 26.83']
Annual Dividend $,0.92
Annual Dividend %,0.0354
Ask,26.95
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,20.88
Bid Size,100.0
Closing Price,25.99
Day Change $,0.04
Day Change %,0.0015
Day High,26.08
Day Low,25.82
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.07
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.28500000000000003
Last (size),44.0
Last (time),1:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.54
Prev Close,25.95
Short Interest,0.0217
Today's Open,26.08
Volume,92244.0
Volume 10-day Avg,246783.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.008849557522123686
Growth 1yr High Est,-0.008658008658008698
Growth 1yr Consensus Est,-0.008753783090066192
Growth 2yr Low Est,0.03798593552465246
Growth 2yr High Est,0.0633565851906463
Growth 2yr Consensus Est,0.05067126035764938
Growth 5yr Low Est,0.06290865918816807
Growth 5yr High Est,0.07451011335539123
Growth 5yr Consensus Est,0.06870938627177965
Growth 5yr Actual/Est,0.06650309387427691
Growth 3yr Historic,0.03880475171714895
Price/Earnings (TTM),12.54301
Price/Sales (TTM),3.78332
Price/Book (MRQ),1.23599
Price/Cash Flow (TTM),10.85158
5yr Low,10.83
5yr High,33.7
5yr Avg Return,0.013099999999999994
EPS Growth 5yr,0.08417949999999999
Revenue Growth 5yr,0.09571690000000001
Dividend Growth 5yr,0.0283467
Short Int Current Month,2011202.0
Short Int Prev Month,2252887.0
Short Int Pct of Float,0.0216656
Days to Cover,6.78186
Float,92.93069
Shares Outstanding,94.83961
Institutions Holding Shares,296.0
FCF Growth 5yr,-0.05130531139041775
"Price/Earnings (TTM, GAAP)",12.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.33280000000000004
Net Profit Margin (TTM),0.3
Annual Dividend Yield,0.0354
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.056600000000000004
EPS Growth (MRQ),0.07730000000000001
EPS Growth (TTM),-0.028300000000000002
Revenue Growth (MRQ),0.2297
Revenue Growth (TTM),0.0355
Return On Equity (TTM),0.09240000000000001
Return On Assets (TTM),0.012
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-17 00:00:00
researchTeam since,2022-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
