,SGFY
% Below High,0.0385
% Held by Institutions,1.1905
52-Wk Range,['10.70 - 29.88']
Annual Dividend $,
Annual Dividend %,
Ask,28.72
Ask Size,600.0
B/A Ratio,4.0
B/A Size,2400x600
Beta,
Bid,28.72
Bid Size,2400.0
Day Change $,0.02
Day Change %,0.0007000000000000001
Day High,28.8
Day Low,28.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.2
Ex-dividend Date,No dividend
Historical Volatility,0.6559999999999999
Last (size),200.0
Last (time),2:05p ET 11/28/22
Market Cap,6.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.71
Price,28.73
Short Interest,0.5097
Today's Open,28.74
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.1346801346801347
Growth 2yr High Est,-1.453125
Growth 2yr Consensus Est,-1.2939025673400675
Growth 5yr Low Est,-1.1346801346801347
Growth 5yr High Est,-1.453125
Growth 5yr Consensus Est,-1.2939025673400675
Growth 5yr Actual/Est,-7.412694339299844
Growth 3yr Historic,-0.05128205128205129
Price/Earnings (TTM),
Price/Sales (TTM),8.64152
Price/Book (MRQ),10.28029
Price/Cash Flow (TTM),
5yr Low,10.7
5yr High,40.79
5yr Avg Return,0.21034999999999995
Short Int Current Month,19338456.0
Short Int Prev Month,15427391.0
Short Int Pct of Float,0.5096752
Days to Cover,8.79134
Float,177.715
Shares Outstanding,235.9488
Institutions Holding Shares,255.0
FCF Growth 5yr,-0.6777706225907143
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4183
Operating Profit Margin (TTM),-0.7395999999999999
Net Profit Margin (TTM),-0.8916
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5738000000000001
EPS Growth (TTM),-206.0216
Revenue Growth (MRQ),-0.4322
Revenue Growth (TTM),-0.002
Return On Equity (TTM),-0.589
Return On Assets (TTM),-0.3633
Return On Investment (TTM),-0.5169
Revenue Per Employee (TTM),340826.0
Total Debt/Total Capital (MRQ),0.2818
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),-9.63
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2022-07-21 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
