,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,40.79,29.88,,,,,
low,12.67,10.7,,,,,
change,-0.5556,0.9763,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,679.0,451.0,439.0,462.0,Balance Sheet
"Trade Accts Recvble, Gross",,,225.0,230.0,228.0,192.0,Balance Sheet
Prov. for Doubtful Accts,,,-8.0,-10.0,-10.0,-10.0,Balance Sheet
"Total Receivables, Net",,,302.0,353.0,391.0,248.0,Balance Sheet
Prepaid Expenses,,,15.0,19.0,18.0,39.0,Balance Sheet
"Other Curr. Assets, Total",,,6.0,2.0,2.0,29.0,Balance Sheet
Total Current Assets,,,1001.0,826.0,850.0,778.0,Balance Sheet
Buildings,,,19.0,19.0,19.0,19.0,Balance Sheet
Machinery/Equipment,,,25.0,26.0,28.0,28.0,Balance Sheet
Construction in Progress,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Prop./Plant/Equip.,,,7.0,7.0,7.0,8.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,50.0,52.0,54.0,56.0,Balance Sheet
Accumulated Depreciation,,,-27.0,-29.0,-31.0,-32.0,Balance Sheet
Prop./Plant/Equip. - Net,,,24.0,23.0,23.0,23.0,Balance Sheet
"Goodwill, Net",,,597.0,796.0,370.0,370.0,Balance Sheet
Intangibles - Gross,,,665.0,766.0,590.0,587.0,Balance Sheet
Accum. Intangible Amort.,,,-210.0,-225.0,-154.0,-161.0,Balance Sheet
Intangibles - Net,,,455.0,540.0,437.0,426.0,Balance Sheet
Other Long Term Assets,,,12.0,32.0,35.0,33.0,Balance Sheet
Total Assets,,,2127.0,2271.0,1768.0,1722.0,Balance Sheet
Accounts Payable,,,6.0,7.0,6.0,5.0,Balance Sheet
Accrued Expenses,,,68.0,62.0,60.0,90.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,4.0,4.0,4.0,4.0,Balance Sheet
Customer Advances,,,33.0,44.0,53.0,13.0,Balance Sheet
Other Payables,,,63.0,37.0,21.0,22.0,Balance Sheet
Deferred Income Tax,,,,22.0,21.0,21.0,Balance Sheet
Other Current Liabilities,,,10.0,18.0,21.0,276.0,Balance Sheet
