,SGFY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),8.64,1.32,Valuation,6.545454545454546
Price/Book (MRQ),10.28,4.31,Valuation,2.3851508120649654
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.4183,0.1318,Profitability,3.1737481031866466
Operating Profit Margin (TTM),-0.7395999999999999,0.0458,Profitability,-16.14847161572052
Net Profit Margin (TTM),-0.8916,0.0242,Profitability,-36.84297520661157
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.5738000000000001,-0.1478,Gowth rates,-3.882273342354534
EPS Growth (TTM),-206.0216,-1.101,Gowth rates,187.12225249772933
Revenue Growth (MRQ),-0.4322,0.0931,Gowth rates,-4.642320085929108
Revenue Growth (TTM),-0.002,0.1191,Gowth rates,-0.016792611251049538
Return On Equity (TTM),-0.589,7.2022,Effectiveness,-0.08178056704895725
Return On Assets (TTM),-0.3633,0.0403,Effectiveness,-9.014888337468982
Return On Investment (TTM),-0.5169,0.016,Effectiveness,-32.30625
Revenue Per Employee (TTM),340826.0,1375304.0,Effectiveness,0.24781866409172082
Total Debt/Total Capital (MRQ),0.2818,0.4855,Financial strength,0.58043254376931
Change in Debt/Total Capital Quarter over Quarter,0.0023,0.0015,Financial strength,1.5333333333333332
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),-9.63,9.55,Financial strength,-1.0083769633507853
