,HTLF
% Below High,0.08539999999999999
% Held by Institutions,0.6258
52-Wk Range,['39.27 - 53.98']
Annual Dividend $,1.12
Annual Dividend %,0.0227
Ask,52.69
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,40.72
Bid Size,200.0
Closing Price,49.37
Day Change $,0.03
Day Change %,0.0006
Day High,49.75
Day Low,49.25
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",4.54
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.268
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.89
Prev Close,49.34
Short Interest,0.0129
Today's Open,49.41
Volume,85278.0
Volume 10-day Avg,116438.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.06719367588932801
Growth 1yr High Est,-0.07156673114119927
Growth 1yr Consensus Est,-0.06938020351526364
Growth 2yr Low Est,-0.00393582099551143
Growth 2yr High Est,0.057966634429400365
Growth 2yr Consensus Est,0.027015406716944468
Growth 5yr Low Est,0.07415585797515065
Growth 5yr High Est,0.10601695430931288
Growth 5yr Consensus Est,0.09008640614223176
Growth 5yr Actual/Est,0.08470716112531973
Growth 3yr Historic,0.06571976616733655
Price/Earnings (TTM),10.88553
Price/Sales (TTM),2.98833
Price/Book (MRQ),1.35607
Price/Cash Flow (TTM),9.59628
5yr Low,25.26
5yr High,61.95
5yr Avg Return,0.004083333333333331
EPS Growth 5yr,0.09176690000000001
Revenue Growth 5yr,0.125166
Dividend Growth 5yr,
Short Int Current Month,496513.0
Short Int Prev Month,500157.0
Short Int Pct of Float,0.0128539
Days to Cover,3.80257
Float,38.67304
Shares Outstanding,42.44482
Institutions Holding Shares,242.0
FCF Growth 5yr,0.38552678892484726
"Price/Earnings (TTM, GAAP)",10.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3608
Net Profit Margin (TTM),0.2868
Annual Dividend Yield,0.0227
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.09210000000000002
EPS Growth (TTM),-0.0664
Revenue Growth (MRQ),0.1499
Revenue Growth (TTM),0.048600000000000004
Return On Equity (TTM),0.10710000000000001
Return On Assets (TTM),0.010400000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-03 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
