,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.0,8.44,,,,,
low,7.46,1.58,,,,,
change,-0.6401000000000001,-0.7967000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,296.0,219.0,182.0,,Balance Sheet
Cash & Equivalents,,,,,,106.0,Balance Sheet
Short Term Investments,,,250.0,192.0,93.0,15.0,Balance Sheet
Cash and Short Term Invs,,,546.0,411.0,275.0,120.0,Balance Sheet
"Trade Accts Recvble, Gross",,,106.0,100.0,110.0,,Balance Sheet
Prov. for Doubtful Accts,,,-1.0,-1.0,-1.0,,Balance Sheet
"Trade Accts Recvble, Net",,,106.0,99.0,110.0,118.0,Balance Sheet
Other Receivables,,,33.0,36.0,29.0,24.0,Balance Sheet
"Total Receivables, Net",,,138.0,135.0,139.0,142.0,Balance Sheet
Invent. - Finished Goods,,,78.0,82.0,83.0,,Balance Sheet
Invent. - Raw Materials,,,17.0,17.0,21.0,,Balance Sheet
Inventories - Other,,,0.0,,,,Balance Sheet
Total Inventory,,,96.0,99.0,104.0,89.0,Balance Sheet
Prepaid Expenses,,,28.0,21.0,25.0,17.0,Balance Sheet
Total Current Assets,,,807.0,666.0,543.0,369.0,Balance Sheet
Land/Improvements,,,117.0,137.0,133.0,,Balance Sheet
Machinery/Equipment,,,199.0,238.0,232.0,,Balance Sheet
Construction in Progress,,,234.0,216.0,283.0,,Balance Sheet
Other Prop./Plant/Equip.,,,178.0,188.0,184.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,729.0,780.0,833.0,,Balance Sheet
Accumulated Depreciation,,,-61.0,-67.0,-74.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,668.0,713.0,759.0,747.0,Balance Sheet
"Goodwill, Gross",,,130.0,127.0,115.0,,Balance Sheet
Accum. Goodwill Amort.,,,0.0,0.0,0.0,,Balance Sheet
"Goodwill, Net",,,130.0,127.0,115.0,,Balance Sheet
Intangibles - Gross,,,19.0,20.0,19.0,,Balance Sheet
Accum. Intangible Amort.,,,-3.0,-4.0,-4.0,,Balance Sheet
Intangibles - Net,,,16.0,16.0,14.0,120.0,Balance Sheet
Note Rcvble - Long Term,,,6.0,6.0,8.0,8.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,2.0,2.0,3.0,5.0,Balance Sheet
Total Assets,,,1629.0,1529.0,1443.0,1248.0,Balance Sheet
Accounts Payable,,,93.0,76.0,97.0,66.0,Balance Sheet
Accrued Expenses,,,117.0,123.0,144.0,134.0,Balance Sheet
