,OTLY
% Above Low,0.0348
% Held by Institutions,0.2119
52-Wk Range,['1.58 - 9.80']
Annual Dividend $,
Annual Dividend %,
Ask,1.64
Ask Size,11900.0
B/A Ratio,0.5630252100840336
B/A Size,6700x11900
Beta,
Bid,1.63
Bid Size,6700.0
Day Change $,0.035
Day Change %,0.0219
Day High,1.66
Day Low,1.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.782
Last (size),300.0
Last (time),9:49a ET 11/28/22
Market Cap,969.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.6
Price,1.64
Short Interest,0.0732
Today's Open,1.62
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.6842105263157894
Growth 1yr High Est,1.0
Growth 1yr Consensus Est,0.8421052631578947
Growth 2yr Low Est,0.2717927631578947
Growth 2yr High Est,0.1964285714285714
Growth 2yr Consensus Est,0.23411066729323304
Growth 5yr Low Est,0.2717927631578947
Growth 5yr High Est,0.1964285714285714
Growth 5yr Consensus Est,0.23411066729323304
Growth 5yr Actual/Est,0.24242424242424243
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.32866
Price/Book (MRQ),1.07767
Price/Cash Flow (TTM),
5yr Low,1.58
5yr High,29.0
5yr Avg Return,-0.7184
Short Int Current Month,22745505.0
Short Int Prev Month,21619638.0
Short Int Pct of Float,0.07318920000000001
Days to Cover,5.64948
Float,310.5308
Shares Outstanding,592.164
Institutions Holding Shares,156.0
FCF Growth 5yr,0.2692187569714006
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.11960000000000001
Operating Profit Margin (TTM),-0.5099
Net Profit Margin (TTM),-0.4868
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4989
EPS Growth (TTM),-0.9670000000000001
Revenue Growth (MRQ),0.0285
Revenue Growth (TTM),0.22030000000000002
Return On Equity (TTM),-0.3128
Return On Assets (TTM),-0.2395
Return On Investment (TTM),-0.2806
Revenue Per Employee (TTM),441545.0
Total Debt/Total Capital (MRQ),0.1406
Change in Debt/Total Capital Quarter over Quarter,0.0049
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),-13.8
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-31 00:00:00
theStreet since,2022-08-31 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-16 00:00:00
ford since,
marketEdge opinion since,
