,OTLY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.59,Valuation,
Price/Sales (TTM),1.33,3.73,Valuation,0.35656836461126007
Price/Book (MRQ),1.08,13.84,Valuation,0.07803468208092486
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),0.11960000000000001,0.272,Profitability,0.43970588235294117
Operating Profit Margin (TTM),-0.5099,-0.0195,Profitability,26.148717948717948
Net Profit Margin (TTM),-0.4868,0.0633,Profitability,-7.690363349131123
Annual Dividend Yield,,0.022400000000000003,Dividend,
Dividend Change %,,0.0626,Dividend,
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),-0.4989,0.2782,Gowth rates,-1.793314162473041
EPS Growth (TTM),-0.9670000000000001,2.1703,Gowth rates,-0.4455605215868774
Revenue Growth (MRQ),0.0285,0.1463,Gowth rates,0.1948051948051948
Revenue Growth (TTM),0.22030000000000002,0.1387,Gowth rates,1.5883201153568856
Return On Equity (TTM),-0.3128,0.1827,Effectiveness,-1.7120963327859882
Return On Assets (TTM),-0.2395,0.0553,Effectiveness,-4.330922242314647
Return On Investment (TTM),-0.2806,0.06559999999999999,Effectiveness,-4.277439024390245
Revenue Per Employee (TTM),441545.0,841800.0,Effectiveness,0.5245248277500594
Total Debt/Total Capital (MRQ),0.1406,0.42450000000000004,Financial strength,0.33121319199057714
Change in Debt/Total Capital Quarter over Quarter,0.0049,0.0048,Financial strength,1.0208333333333335
Quick Ratio (MRQ),1.18,0.77,Financial strength,1.5324675324675323
Interest Coverage (MRQ),-13.8,6.87,Financial strength,-2.0087336244541487
