,DV
% Above Low,0.4704
% Held by Institutions,0.9994
52-Wk Range,['17.22 - 33.90']
Annual Dividend $,
Annual Dividend %,
Ask,33.65
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,25.32
Day Change $,-0.55
Day Change %,-0.0213
Day High,25.69
Day Low,25.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.5860000000000001
Last (size),20600.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",83.1
Prev Close,25.87
Short Interest,0.0461
Today's Open,25.62
Volume,294954.0
Volume 10-day Avg,1697123.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.04166666666666674
Growth 2yr High Est,0.5128205128205128
Growth 2yr Consensus Est,0.27724358974358976
Growth 5yr Low Est,0.04166666666666674
Growth 5yr High Est,0.5128205128205128
Growth 5yr Consensus Est,0.27724358974358976
Growth 5yr Actual/Est,0.45370370370370383
Growth 3yr Historic,0.0
Price/Earnings (TTM),83.10358
Price/Sales (TTM),9.83853
Price/Book (MRQ),4.96432
Price/Cash Flow (TTM),47.83862
5yr Low,17.22
5yr High,48.42
5yr Avg Return,-0.1439
Short Int Current Month,4431177.0
Short Int Prev Month,4706677.0
Short Int Pct of Float,0.0460605
Days to Cover,1.91552
Float,163.7496
Shares Outstanding,164.8751
Institutions Holding Shares,223.0
FCF Growth 5yr,-0.8583237579459658
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",83.1
"PEG Ratio (TTM, GAAP)",2.75
Gross Profit Margin (TTM),0.8268000000000001
Operating Profit Margin (TTM),0.1095
Net Profit Margin (TTM),0.1261
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0002
EPS Growth (TTM),4.2513
Revenue Growth (MRQ),0.0223
Revenue Growth (TTM),0.3873
Return On Equity (TTM),0.068
Return On Assets (TTM),0.0592
Return On Investment (TTM),0.0625
Revenue Per Employee (TTM),1342769.0
Total Debt/Total Capital (MRQ),0.0039000000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.005
Quick Ratio (MRQ),
Interest Coverage (MRQ),66.08
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
