,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,48.42,33.61,,,,,
low,27.16,17.22,,,,,
change,-0.049100000000000005,-0.23870000000000002,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,222.0,212.0,224.0,243.0,Balance Sheet
"Trade Accts Recvble, Gross",,,129.0,141.0,150.0,149.0,Balance Sheet
Prov. for Doubtful Accts,,,-7.0,-7.0,-8.0,-8.0,Balance Sheet
"Total Receivables, Net",,,123.0,134.0,142.0,141.0,Balance Sheet
Prepaid Expenses,,,23.0,25.0,21.0,21.0,Balance Sheet
Total Current Assets,,,368.0,371.0,387.0,405.0,Balance Sheet
Buildings,,,9.0,8.0,8.0,25.0,Balance Sheet
Machinery/Equipment,,,34.0,36.0,37.0,39.0,Balance Sheet
Other Prop./Plant/Equip.,,,1.0,77.0,77.0,77.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,44.0,121.0,123.0,141.0,Balance Sheet
Accumulated Depreciation,,,-27.0,-25.0,-22.0,-24.0,Balance Sheet
Prop./Plant/Equip. - Net,,,18.0,96.0,101.0,117.0,Balance Sheet
"Goodwill, Net",,,351.0,343.0,339.0,337.0,Balance Sheet
Intangibles - Gross,,,228.0,235.0,234.0,233.0,Balance Sheet
Accum. Intangible Amort.,,,-74.0,-80.0,-86.0,-92.0,Balance Sheet
Intangibles - Net,,,153.0,155.0,148.0,141.0,Balance Sheet
Other Long Term Assets,,,3.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,892.0,966.0,976.0,1001.0,Balance Sheet
Accounts Payable,,,4.0,4.0,6.0,12.0,Balance Sheet
Accrued Expenses,,,41.0,31.0,33.0,36.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,2.0,2.0,2.0,2.0,Balance Sheet
Income Taxes Payable,,,1.0,1.0,1.0,0.0,Balance Sheet
Other Current Liabilities,,,8.0,7.0,6.0,7.0,Balance Sheet
"Other Curr. Lblts, Total",,,10.0,8.0,7.0,7.0,Balance Sheet
Total Current Liabilities,,,57.0,45.0,48.0,58.0,Balance Sheet
Long Term Debt,,,0.0,,,,Balance Sheet
Capital Lease Obligations,,,3.0,2.0,2.0,1.0,Balance Sheet
Total Long Term Debt,,,3.0,2.0,2.0,1.0,Balance Sheet
Total Debt,,,5.0,4.0,4.0,3.0,Balance Sheet
Deferred Income Tax,,,30.0,28.0,26.0,24.0,Balance Sheet
"Other Liabilities, Total",,,3.0,77.0,79.0,78.0,Balance Sheet
Total Liabilities,,,93.0,152.0,155.0,161.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,717.0,730.0,738.0,744.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,84.0,89.0,99.0,109.0,Balance Sheet
Treasury Stock - Common,,,-2.0,-3.0,-8.0,-1.0,Balance Sheet
"Other Equity, Total",,,-1.0,-2.0,-8.0,-13.0,Balance Sheet
Total Equity,,,799.0,814.0,821.0,840.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,892.0,966.0,976.0,1001.0,Balance Sheet
Ttl Comm. Shares Outs.,,,162.0,163.0,164.0,165.0,Balance Sheet
