,DV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",83.1,54.08,Valuation,1.536612426035503
Price/Sales (TTM),9.84,9.39,Valuation,1.047923322683706
Price/Book (MRQ),4.96,12.63,Valuation,0.39271575613618365
"PEG Ratio (TTM, GAAP)",2.75,1.92,Valuation,1.4322916666666667
Gross Profit Margin (TTM),0.8268000000000001,0.7206,Profitability,1.1473771856786013
Operating Profit Margin (TTM),0.1095,0.2172,Profitability,0.5041436464088398
Net Profit Margin (TTM),0.1261,0.1553,Profitability,0.8119768190598841
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0002,-0.0752,Gowth rates,-0.0026595744680851063
EPS Growth (TTM),4.2513,-0.2824,Gowth rates,-15.054178470254957
Revenue Growth (MRQ),0.0223,0.15560000000000002,Gowth rates,0.14331619537275064
Revenue Growth (TTM),0.3873,0.1906,Gowth rates,2.0320041972717733
Return On Equity (TTM),0.068,0.2189,Effectiveness,0.31064412973960714
Return On Assets (TTM),0.0592,0.10740000000000001,Effectiveness,0.5512104283054003
Return On Investment (TTM),0.0625,0.1387,Effectiveness,0.4506128334534968
Revenue Per Employee (TTM),1342769.0,667721.0,Effectiveness,2.010973145969649
Total Debt/Total Capital (MRQ),0.0039000000000000003,0.39659999999999995,Financial strength,0.009833585476550683
Change in Debt/Total Capital Quarter over Quarter,-0.005,0.0004,Financial strength,-12.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),66.08,0.28,Financial strength,235.99999999999997
