,MSA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",81.4,49.74,Valuation,1.6365098512263772
Price/Sales (TTM),3.73,4.84,Valuation,0.7706611570247934
Price/Book (MRQ),6.64,8.39,Valuation,0.7914183551847437
"PEG Ratio (TTM, GAAP)",,29.79,Valuation,
Gross Profit Margin (TTM),0.4403,0.3996,Profitability,1.1018518518518519
Operating Profit Margin (TTM),0.055700000000000006,-0.0013000000000000002,Profitability,-42.84615384615385
Net Profit Margin (TTM),0.046200000000000005,-0.084,Profitability,-0.55
Annual Dividend Yield,0.0129,0.011000000000000001,Dividend,1.1727272727272726
Dividend Change %,0.0234,0.0031,Dividend,7.548387096774194
"Dividend Growth Rate, 3 Years",0.055099999999999996,0.076,Dividend,0.725
EPS Growth (MRQ),-0.0555,0.2796,Gowth rates,-0.1984978540772532
EPS Growth (TTM),-0.3054,0.0167,Gowth rates,-18.2874251497006
Revenue Growth (MRQ),0.0252,6.5277,Gowth rates,0.0038604715290224733
Revenue Growth (TTM),0.0848,0.4153,Gowth rates,0.20418974235492415
Return On Equity (TTM),0.08320000000000001,0.24,Effectiveness,0.34666666666666673
Return On Assets (TTM),0.029700000000000004,0.08750000000000001,Effectiveness,0.33942857142857147
Return On Investment (TTM),0.0349,0.1107,Effectiveness,0.3152664859981933
Revenue Per Employee (TTM),311451.0,300402.0,Effectiveness,1.0367807138434497
Total Debt/Total Capital (MRQ),0.4179,0.44520000000000004,Financial strength,0.9386792452830187
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0070999999999999995,Financial strength,-0.09859154929577467
Quick Ratio (MRQ),1.47,1.36,Financial strength,1.0808823529411764
Interest Coverage (MRQ),7.95,18.66,Financial strength,0.42604501607717044
