,MSA
% Below High,0.0729
% Held by Institutions,0.8393
52-Wk Range,['108.75 - 153.30']
Annual Dividend $,1.84
Annual Dividend %,0.0129
Ask,227.13
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,56.79
Bid Size,200.0
Closing Price,142.12
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",1.75
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.302
Last (size),216.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",81.4
Prev Close,142.12
Short Interest,0.0158
Today's Open,
Volume,31450.0
Volume 10-day Avg,129593.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1467505241090148
Growth 1yr High Est,0.11895161290322576
Growth 1yr Consensus Est,0.13285106850612027
Growth 2yr Low Est,0.11268056369984569
Growth 2yr High Est,0.12704337401918042
Growth 2yr Consensus Est,0.11986196885951306
Growth 5yr Low Est,0.056340281849922846
Growth 5yr High Est,0.06352168700959021
Growth 5yr Consensus Est,0.05993098442975653
Growth 5yr Actual/Est,0.06275979377045621
Growth 3yr Historic,-0.005624999999999991
Price/Earnings (TTM),81.39841
Price/Sales (TTM),3.72699
Price/Book (MRQ),6.641
Price/Cash Flow (TTM),44.57343
5yr Low,71.47
5yr High,172.84
5yr Avg Return,0.10541666666666666
EPS Growth 5yr,-0.25947780000000004
Revenue Growth 5yr,0.040238300000000005
Dividend Growth 5yr,0.0596278
Short Int Current Month,581021.0
Short Int Prev Month,627582.0
Short Int Pct of Float,0.0158297
Days to Cover,5.2074
Float,36.72576
Shares Outstanding,39.21608
Institutions Holding Shares,346.0
FCF Growth 5yr,0.684985131751492
"Price/Earnings (TTM, GAAP)",81.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4403
Operating Profit Margin (TTM),0.055700000000000006
Net Profit Margin (TTM),0.046200000000000005
Annual Dividend Yield,0.0129
Dividend Change %,0.0234
"Dividend Growth Rate, 3 Years",0.055099999999999996
EPS Growth (MRQ),-0.0555
EPS Growth (TTM),-0.3054
Revenue Growth (MRQ),0.0252
Revenue Growth (TTM),0.0848
Return On Equity (TTM),0.08320000000000001
Return On Assets (TTM),0.029700000000000004
Return On Investment (TTM),0.0349
Revenue Per Employee (TTM),311451.0
Total Debt/Total Capital (MRQ),0.4179
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.47
Interest Coverage (MRQ),7.95
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-11-14 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
