,KELYA
% Above Low,0.264
% Held by Institutions,0.885
52-Wk Range,['13.41 - 23.00']
Annual Dividend $,0.3
Annual Dividend %,0.0177
Ask,19.0
Ask Size,500.0
B/A Ratio,4.0
B/A Size,2000x500
Beta,1.1
Bid,16.95
Bid Size,2000.0
Closing Price,16.95
Day Change $,0.23
Day Change %,0.0138
Day High,17.38
Day Low,16.56
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",0.2
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.45799999999999996
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,643.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",86.04
Prev Close,16.72
Short Interest,0.019799999999999998
Today's Open,16.61
Volume,81708.0
Volume 10-day Avg,169801.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.3142857142857144
Growth 1yr High Est,-0.26190476190476186
Growth 1yr Consensus Est,-0.2880952380952381
Growth 2yr Low Est,-0.15367063492063499
Growth 2yr High Est,0.027112135176651342
Growth 2yr Consensus Est,-0.06327924987199182
Growth 5yr Low Est,-0.07683531746031749
Growth 5yr High Est,0.013556067588325671
Growth 5yr Consensus Est,-0.03163962493599591
Growth 5yr Actual/Est,-0.009775861227493188
Growth 3yr Historic,-0.07118055555555555
Price/Earnings (TTM),86.04498
Price/Sales (TTM),0.12909
Price/Book (MRQ),0.51282
Price/Cash Flow (TTM),16.61804
5yr Low,10.13
5yr High,32.31
5yr Avg Return,-0.08428333333333332
EPS Growth 5yr,0.049352400000000005
Revenue Growth 5yr,-0.0143179
Dividend Growth 5yr,
Short Int Current Month,658241.0
Short Int Prev Month,791017.0
Short Int Pct of Float,0.019781200000000002
Days to Cover,3.38742
Float,33.62402
Shares Outstanding,37.94802
Institutions Holding Shares,236.0
FCF Growth 5yr,-0.7914036778582245
"Price/Earnings (TTM, GAAP)",86.04
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2023
Operating Profit Margin (TTM),0.0089
Net Profit Margin (TTM),0.0012
Annual Dividend Yield,0.0177
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-8.4221
EPS Growth (TTM),-0.9274
Revenue Growth (MRQ),-0.0784
Revenue Growth (TTM),0.0165
Return On Equity (TTM),0.0075
Return On Assets (TTM),0.0023
Return On Investment (TTM),0.0038
Revenue Per Employee (TTM),673230.0
Total Debt/Total Capital (MRQ),0.0001
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-13 00:00:00
researchTeam since,2022-11-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
