,KELYA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",86.04,75.74,Valuation,1.1359915500396094
Price/Sales (TTM),0.13,5.07,Valuation,0.02564102564102564
Price/Book (MRQ),0.51,7.18,Valuation,0.07103064066852369
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.2023,0.49210000000000004,Profitability,0.41109530583214793
Operating Profit Margin (TTM),0.0089,0.10619999999999999,Profitability,0.08380414312617704
Net Profit Margin (TTM),0.0012,0.055,Profitability,0.021818181818181816
Annual Dividend Yield,0.0177,0.0074,Dividend,2.3918918918918917
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-8.4221,-18.5673,Gowth rates,0.4535985307502976
EPS Growth (TTM),-0.9274,-0.2057,Gowth rates,4.508507535245504
Revenue Growth (MRQ),-0.0784,0.10880000000000001,Gowth rates,-0.7205882352941175
Revenue Growth (TTM),0.0165,0.11970000000000001,Gowth rates,0.13784461152882205
Return On Equity (TTM),0.0075,0.1999,Effectiveness,0.03751875937968985
Return On Assets (TTM),0.0023,0.0565,Effectiveness,0.04070796460176991
Return On Investment (TTM),0.0038,0.0848,Effectiveness,0.04481132075471698
Revenue Per Employee (TTM),673230.0,417216.0,Effectiveness,1.613624597330879
Total Debt/Total Capital (MRQ),0.0001,0.4147,Financial strength,0.00024113817217265494
Change in Debt/Total Capital Quarter over Quarter,,0.0070999999999999995,Financial strength,
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),,18.36,Financial strength,
