,ENR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.47,Valuation,
Price/Sales (TTM),0.77,3.88,Valuation,0.1984536082474227
Price/Book (MRQ),18.02,30.23,Valuation,0.5960965927886206
"PEG Ratio (TTM, GAAP)",,10.48,Valuation,
Gross Profit Margin (TTM),0.3735,0.4571,Profitability,0.8171078538612995
Operating Profit Margin (TTM),-0.1002,0.1941,Profitability,-0.5162287480680062
Net Profit Margin (TTM),-0.0759,0.15480000000000002,Profitability,-0.49031007751937977
Annual Dividend Yield,0.0363,0.0255,Dividend,1.423529411764706
Dividend Change %,0.0,0.0727,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.05740000000000001,Dividend,0.0
EPS Growth (MRQ),-7.984,-0.05480000000000001,Gowth rates,145.69343065693428
EPS Growth (TTM),-2.6001,-0.0253,Gowth rates,102.77075098814228
Revenue Growth (MRQ),0.0857,0.022000000000000002,Gowth rates,3.895454545454545
Revenue Growth (TTM),0.0095,0.0414,Gowth rates,0.22946859903381642
Return On Equity (TTM),-0.9684999999999999,1.0171,Effectiveness,-0.9522170877986432
Return On Assets (TTM),-0.0483,0.1167,Effectiveness,-0.41388174807197947
Return On Investment (TTM),-0.058300000000000005,0.171,Effectiveness,-0.34093567251461987
Revenue Per Employee (TTM),554564.0,708841.0,Effectiveness,0.7823531652373381
Total Debt/Total Capital (MRQ),0.9642000000000001,0.5498,Financial strength,1.7537286285922156
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0005,Financial strength,2.4
Quick Ratio (MRQ),1.17,0.49,Financial strength,2.387755102040816
Interest Coverage (MRQ),2.69,46.23,Financial strength,0.0581873242483236
