,ENR
% Above Low,0.33130000000000004
% Held by Institutions,0.8794
52-Wk Range,['24.81 - 41.62']
Annual Dividend $,1.2
Annual Dividend %,0.0363
Ask,34.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,29.99
Bid Size,100.0
Closing Price,33.03
Day Change $,0.29
Day Change %,0.0089
Day High,33.16
Day Low,32.6
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-3.27
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.348
Last (size),32.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,32.74
Short Interest,0.06860000000000001
Today's Open,32.67
Volume,246165.0
Volume 10-day Avg,737969.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.013377926421404451
Growth 1yr High Est,0.045454545454545414
Growth 1yr Consensus Est,0.029416235937974933
Growth 2yr Low Est,0.056193913705751775
Growth 2yr High Est,0.10657820440429122
Growth 2yr Consensus Est,0.0813860590550215
Growth 5yr Low Est,0.0034285751031338427
Growth 5yr High Est,0.019770084987476195
Growth 5yr Consensus Est,0.01159933004530502
Growth 5yr Actual/Est,0.12743940297201886
Growth 3yr Historic,0.0978877444394686
Price/Earnings (TTM),
Price/Sales (TTM),0.77203
Price/Book (MRQ),18.02477
Price/Cash Flow (TTM),
5yr Low,24.81
5yr High,65.57
5yr Avg Return,-0.043899999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.1167932
Dividend Growth 5yr,0.0175546
Short Int Current Month,4851922.0
Short Int Prev Month,5093355.0
Short Int Pct of Float,0.0685797
Days to Cover,7.35705
Float,70.76491
Shares Outstanding,71.29204
Institutions Holding Shares,321.0
FCF Growth 5yr,0.21810049759799435
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3735
Operating Profit Margin (TTM),-0.1002
Net Profit Margin (TTM),-0.0759
Annual Dividend Yield,0.0363
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-7.984
EPS Growth (TTM),-2.6001
Revenue Growth (MRQ),0.0857
Revenue Growth (TTM),0.0095
Return On Equity (TTM),-0.9684999999999999
Return On Assets (TTM),-0.0483
Return On Investment (TTM),-0.058300000000000005
Revenue Per Employee (TTM),554564.0
Total Debt/Total Capital (MRQ),0.9642000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),2.69
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-16 00:00:00
ford since,2022-06-24 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-16 00:00:00
