,SAVE
% Above Low,0.3354
% Held by Institutions,0.6504000000000001
52-Wk Range,['15.92 - 28.30']
Annual Dividend $,
Annual Dividend %,
Ask,21.27
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,21.25
Bid Size,100.0
Day Change $,-0.46
Day Change %,-0.0212
Day High,21.65
Day Low,21.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.41
Ex-dividend Date,No dividend
Historical Volatility,0.596
Last (size),100.0
Last (time),1:39p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.72
Price,21.26
Short Interest,0.09539999999999998
Today's Open,21.53
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.5720430107526882
Growth 1yr High Est,-0.5511811023622047
Growth 1yr Consensus Est,-0.5616120565574465
Growth 2yr Low Est,-0.6101421083914195
Growth 2yr High Est,-1.272666574572915
Growth 2yr Consensus Est,-0.9414043414821673
Growth 5yr Low Est,-1.115348313104987
Growth 5yr High Est,-1.4049452844182233
Growth 5yr Consensus Est,-1.260146798761605
Growth 5yr Actual/Est,-1.2821142765469657
Growth 3yr Historic,-0.7926821922378322
Price/Earnings (TTM),
Price/Sales (TTM),0.50687
Price/Book (MRQ),1.28514
Price/Cash Flow (TTM),
5yr Low,7.01
5yr High,65.35
5yr Avg Return,-0.06753333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0684715
Dividend Growth 5yr,
Short Int Current Month,10337301.0
Short Int Prev Month,11013925.0
Short Int Pct of Float,0.0953894
Days to Cover,14.08108
Float,108.3956
Shares Outstanding,108.8572
Institutions Holding Shares,288.0
FCF Growth 5yr,4.670747347643794
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.195
Operating Profit Margin (TTM),-0.076
Net Profit Margin (TTM),-0.0795
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3069
EPS Growth (TTM),0.34950000000000003
Revenue Growth (MRQ),-0.0172
Revenue Growth (TTM),0.7014
Return On Equity (TTM),-0.18359999999999999
Return On Assets (TTM),-0.043
Return On Investment (TTM),-0.052000000000000005
Revenue Per Employee (TTM),474875.0
Total Debt/Total Capital (MRQ),0.6208
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-05-08 00:00:00
theStreet since,2022-08-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-01-27 00:00:00
ford since,2022-07-22 00:00:00
marketEdge opinion since,
