,FLS
% Below High,0.1564
% Held by Institutions,1.0737
52-Wk Range,['23.89 - 37.59']
Annual Dividend $,0.8
Annual Dividend %,0.0252
Ask,35.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,23.23
Bid Size,100.0
Closing Price,31.71
Day Change $,0.09
Day Change %,0.0028000000000000004
Day High,31.92
Day Low,31.62
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",0.64
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.358
Last (size),767.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.55
Prev Close,31.62
Short Interest,0.031
Today's Open,31.75
Volume,238232.0
Volume 10-day Avg,810900.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.37857142857142856
Growth 1yr High Est,0.06896551724137945
Growth 1yr Consensus Est,-0.15480295566502456
Growth 2yr Low Est,0.17278325123152716
Growth 2yr High Est,0.16351501668520585
Growth 2yr Consensus Est,0.1681491339583665
Growth 5yr Low Est,-0.010051602838408807
Growth 5yr High Est,-0.0176917990833301
Growth 5yr Consensus Est,-0.013871700960869454
Growth 5yr Actual/Est,0.012449421961933715
Growth 3yr Historic,-0.10399686520376178
Price/Earnings (TTM),49.54842
Price/Sales (TTM),1.18559
Price/Book (MRQ),2.4956
Price/Cash Flow (TTM),22.44553
5yr Low,18.98
5yr High,56.86
5yr Avg Return,-0.016649999999999998
EPS Growth 5yr,-0.0098547
Revenue Growth 5yr,-0.0236141
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,4035946.0
Short Int Prev Month,4153316.0
Short Int Pct of Float,0.0309998
Days to Cover,2.5268
Float,130.242
Shares Outstanding,130.6959
Institutions Holding Shares,352.0
FCF Growth 5yr,0.26571877030987506
"Price/Earnings (TTM, GAAP)",49.55
"PEG Ratio (TTM, GAAP)",4.95
Gross Profit Margin (TTM),0.2766
Operating Profit Margin (TTM),0.0398
Net Profit Margin (TTM),0.0265
Annual Dividend Yield,0.0252
Dividend Change %,0.2658
"Dividend Growth Rate, 3 Years",0.0958
EPS Growth (MRQ),-0.1434
EPS Growth (TTM),-0.4932
Revenue Growth (MRQ),-0.0106
Revenue Growth (TTM),-0.0309
Return On Equity (TTM),0.0492
Return On Assets (TTM),0.0183
Return On Investment (TTM),0.0263
Revenue Per Employee (TTM),218476.0
Total Debt/Total Capital (MRQ),0.4308
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),5.91
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-05-25 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-03-06 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
