,SIBN
% Above Low,0.059800000000000006
% Held by Institutions,1.0311
52-Wk Range,['11.21 - 23.71']
Annual Dividend $,
Annual Dividend %,
Ask,11.88
Ask Size,700.0
B/A Ratio,0.7142857142857143
B/A Size,500x700
Beta,1.0
Bid,11.8
Bid Size,500.0
Day Change $,-0.31
Day Change %,-0.0254
Day High,12.02
Day Low,11.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.9
Ex-dividend Date,No dividend
Historical Volatility,0.6970000000000001
Last (size),8.0
Last (time),2:16p ET 11/28/22
Market Cap,409.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.19
Price,11.88
Short Interest,0.0454
Today's Open,12.02
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.10919540229885061
Growth 1yr High Est,0.1366459627329193
Growth 1yr Consensus Est,0.12292068251588495
Growth 2yr Low Est,0.03387231254838907
Growth 2yr High Est,-0.08741472355157315
Growth 2yr Consensus Est,-0.026771205501592038
Growth 5yr Low Est,0.04086156588041173
Growth 5yr High Est,-0.014803457871882614
Growth 5yr Consensus Est,0.01302905400426456
Growth 5yr Actual/Est,0.013225455253324303
Growth 3yr Historic,0.026935483870967697
Price/Earnings (TTM),
Price/Sales (TTM),4.21835
Price/Book (MRQ),4.08269
Price/Cash Flow (TTM),
5yr Low,7.2
5yr High,37.21
5yr Avg Return,-0.0633
EPS Growth 5yr,
Revenue Growth 5yr,0.1644922
Dividend Growth 5yr,
Short Int Current Month,1536772.0
Short Int Prev Month,1777505.0
Short Int Pct of Float,0.0454488
Days to Cover,5.60195
Float,33.87011
Shares Outstanding,34.49634
Institutions Holding Shares,169.0
FCF Growth 5yr,0.24005698433944178
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8595999999999999
Operating Profit Margin (TTM),-0.6244
Net Profit Margin (TTM),-0.6476000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.242
EPS Growth (TTM),-0.2217
Revenue Growth (MRQ),0.033100000000000004
Revenue Growth (TTM),0.1449
Return On Equity (TTM),-0.5239
Return On Assets (TTM),-0.3666
Return On Investment (TTM),-0.4046
Revenue Per Employee (TTM),283199.0
Total Debt/Total Capital (MRQ),0.2546
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),6.59
Interest Coverage (MRQ),-33.17
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2019-12-02 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
