,SIBN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),4.22,9.8,Valuation,0.43061224489795913
Price/Book (MRQ),4.08,10.31,Valuation,0.3957322987390883
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.8595999999999999,0.6196,Profitability,1.3873466752743704
Operating Profit Margin (TTM),-0.6244,0.047,Profitability,-13.285106382978723
Net Profit Margin (TTM),-0.6476000000000001,0.009300000000000001,Profitability,-69.63440860215054
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.242,-0.4858,Gowth rates,-0.4981473857554549
EPS Growth (TTM),-0.2217,-0.2029,Gowth rates,1.0926564810251356
Revenue Growth (MRQ),0.033100000000000004,0.1161,Gowth rates,0.28509905254091306
Revenue Growth (TTM),0.1449,0.18300000000000002,Gowth rates,0.7918032786885245
Return On Equity (TTM),-0.5239,0.1068,Effectiveness,-4.905430711610487
Return On Assets (TTM),-0.3666,0.0622,Effectiveness,-5.893890675241157
Return On Investment (TTM),-0.4046,0.0732,Effectiveness,-5.527322404371585
Revenue Per Employee (TTM),283199.0,403586.0,Effectiveness,0.7017066994395247
Total Debt/Total Capital (MRQ),0.2546,0.3161,Financial strength,0.8054413160392281
Change in Debt/Total Capital Quarter over Quarter,0.0023,0.0125,Financial strength,0.184
Quick Ratio (MRQ),6.59,2.25,Financial strength,2.928888888888889
Interest Coverage (MRQ),-33.17,14.99,Financial strength,-2.2128085390260175
