,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,17.73,17.2,17.34,21.1,22.86,,,,,
low,14.01,14.25,10.27,14.7,18.77,,,,,
change,-0.0013000000000000002,0.1159,-0.0852,0.3372,0.038900000000000004,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,71.0,96.0,109.0,102.0,Balance Sheet
FHLB Stock,,,,,,23.0,26.0,26.0,38.0,Balance Sheet
Other Short Trm Invest.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Securities Held,,,,,,430.0,419.0,426.0,425.0,Balance Sheet
Securities for Sale,,,,,,1707.0,1582.0,1494.0,1375.0,Balance Sheet
Total Invest. Securities,,,,,,2136.0,2001.0,1920.0,1800.0,Balance Sheet
Loans Held for Sale,,,,,,0.0,,,,Balance Sheet
"Other Erng. Assets, Total",,,,,,2160.0,2027.0,1947.0,1838.0,Balance Sheet
Total Gross Loans,,,,,,6354.0,6449.0,6952.0,7292.0,Balance Sheet
Loan Loss Allowances,,,,,,-63.0,-47.0,-51.0,-52.0,Balance Sheet
Unearned Income,,,,,,7.0,28.0,31.0,34.0,Balance Sheet
Net Loans,,,,,,6298.0,6430.0,6932.0,7274.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,79.0,78.0,84.0,84.0,Balance Sheet
Intangibles - Net,,,,,,92.0,91.0,129.0,126.0,Balance Sheet
"Other Assets, Total",,,,,,525.0,515.0,551.0,587.0,Balance Sheet
Total Assets,,,,,,9224.0,9237.0,9751.0,10012.0,Balance Sheet
Accrued Expenses,,,,,,161.0,139.0,178.0,199.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,1712.0,1659.0,1788.0,1747.0,Balance Sheet
Interest Bearing Deposits,,,,,,5858.0,5936.0,6245.0,6318.0,Balance Sheet
Total Deposits,,,,,,7570.0,7595.0,8033.0,8065.0,Balance Sheet
Total Long Term Debt,,,,,,377.0,433.0,420.0,674.0,Balance Sheet
Total Debt,,,,,,377.0,433.0,420.0,674.0,Balance Sheet
"Other Liabilities, Total",,,,,,36.0,38.0,46.0,44.0,Balance Sheet
Total Liabilities,,,,,,8145.0,8205.0,8677.0,8983.0,Balance Sheet
