,CLBK
% Below High,0.0429
% Held by Institutions,0.13970000000000002
52-Wk Range,['18.07 - 22.86']
Annual Dividend $,
Annual Dividend %,
Ask,34.48
Ask Size,1000.0
B/A Ratio,1.0
B/A Size,1000x1000
Beta,0.3
Bid,20.08
Bid Size,1000.0
Closing Price,21.88
Day Change $,0.09
Day Change %,0.0040999999999999995
Day High,21.99
Day Low,21.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.83
Ex-dividend Date,No dividend
Historical Volatility,0.292
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",26.28
Prev Close,21.79
Short Interest,0.0345
Today's Open,21.86
Volume,45829.0
Volume 10-day Avg,108147.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.04705882352941171
Growth 1yr High Est,-0.04651162790697683
Growth 1yr Consensus Est,-0.04678522571819427
Growth 2yr Low Est,-0.023529411764705854
Growth 2yr High Est,0.02552467385138968
Growth 2yr Consensus Est,0.0009976310433419122
Growth 5yr Low Est,0.1809436274509804
Growth 5yr High Est,0.19446438095085206
Growth 5yr Consensus Est,0.1877040042009162
Growth 5yr Actual/Est,0.18353271293166765
Growth 3yr Historic,0.18838304552590268
Price/Earnings (TTM),26.28323
Price/Sales (TTM),8.29041
Price/Book (MRQ),2.33555
Price/Cash Flow (TTM),24.87277
5yr Low,10.27
5yr High,22.86
5yr Avg Return,0.08109999999999999
Short Int Current Month,1093692.0
Short Int Prev Month,1182672.0
Short Int Pct of Float,0.034455
Days to Cover,7.13121
Float,31.67051
Shares Outstanding,109.5755
Institutions Holding Shares,152.0
FCF Growth 5yr,0.3629527297681748
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",26.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4094
Net Profit Margin (TTM),0.303
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.09550000000000002
EPS Growth (TTM),-0.0183
Revenue Growth (MRQ),0.09369999999999999
Revenue Growth (TTM),0.0593
Return On Equity (TTM),0.085
Return On Assets (TTM),0.0091
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-04-23 00:00:00
ford since,2021-04-23 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-03-16 00:00:00
marketEdge opinion since,
